date,product with quantity,price
10-03-2015,Coorg Coffee 200g,Rs.96.00
10-03-2015,Cothas Coffee 200g,Rs.88.00
10-03-2015,Dabur Glucoplus-C  Lemon 100g,Rs.24.00
10-03-2015,Dabur Glucose-C 500g,Rs.105.00
10-03-2015,Dabur Glucose-C Orange 100g,Rs.24.00
10-03-2015,Dabur Glucose-D  Jar 200g,Rs.49.00
10-03-2015,Dabur Glucose-D Green 100g,Rs.22.00
10-03-2015,Fanta -Soft Drink 600ml,Rs.33.00
10-03-2015,Fanta -Tin 300ml,Rs.30.00
10-03-2015,Frooti - Mango Drink 250ml,Rs.15.00
10-03-2015,Frooti - Mango Drink 2 Ltr.,Rs.92.00
10-03-2015,Frooti - Mango Drink Tetra Pack 250ml,Rs.15.00
10-03-2015,Glucon D Jar 1Kg,Rs.155.00
10-03-2015,Glucon D Nimbu Pani 500g,Rs.115.00
10-03-2015,Glucon D Refill 500g,Rs.82.00
10-03-2015,Glucon D Refill 1Kg,Rs.145.00
10-03-2015,Horlicks - Jar 2Kg,Rs.680.00
10-03-2015,Horlicks - Jar 500g,Rs.206.00
10-03-2015,Horlicks - Refill 500g,Rs.199.00
10-03-2015,Horlicks Chocolate - Jar 500 Gms,Rs.199.00
10-03-2015,Horlicks Chocolate - Refill 500 Gms,Rs.193.00
10-03-2015,Horlicks Gold - Jar 500g,Rs.215.00
10-03-2015,Horlicks Gold - Refill 500g,Rs.216.00
10-03-2015,Horlicks Gold Choc - Jar 500g,Rs.210.00
10-03-2015,Horlicks Gold Choc - Refill 500g,Rs.205.00
10-03-2015,Horlicks Lite - Jar 500g,Rs.240.00
10-03-2015,Horlicks Lite Badam - Jar 500g,Rs.250.00
10-03-2015,Horlicks Lite Badam - Refill 500g,Rs.240.00
10-03-2015,Horlicks ProMind - Refill 400g,Rs.228.00
10-03-2015,Horlicks ProMind - Tin 400g,Rs.238.00
10-03-2015,Junior Horlicks Stage2 -  Chocolate 500g,Rs.235.00
10-03-2015,Junior Horlicks Stage2 - Vanilla 500g,Rs.235.00
10-03-2015,Junior Horlicks Stage2 - Vanilla Jar 500g,Rs.250.00
10-03-2015,Kinley - Club Soda 600ml,Rs.15.00
10-03-2015,Lion Dates Syrup 500g,Rs.160.00
10-03-2015,Lipton Green Ice Tea - Lemon & Mint 500g,Rs.125.00
10-03-2015,Lipton Green Tea 100g,Rs.90.00
10-03-2015,Lipton Green Tea Bags - Clear (Citrus) 10 bags,Rs.55.00
10-03-2015,Lipton Green Tea Bags - Clear (Citrus) 20 Bags,Rs.105.00
10-03-2015,Lipton Green Tea Bags - Clear (Jasmine) 10 bags,Rs.55.00
10-03-2015,3 Roses Tea 250g,Rs.114.00
10-03-2015,B Natural - Guava Gush 200ml x 4,Rs.80.00
10-03-2015,B Natural - Litchi Luscious 200ml x 4,Rs.80.00
10-03-2015,B Natural - Mango Magic 200ml x 4,Rs.80.00
10-03-2015,B Natural - Mixed Fruit Merry 200ml x 4,Rs.80.00
10-03-2015,B Natural - Orange Oomph 1Ltr,Rs.99.00
10-03-2015,Bisleri 1Ltr x 12,Rs.216.00
10-03-2015,Boost - Refill 500g,Rs.202.50
10-03-2015,BRU Gold (Coffee Mug Free) 2 x 50g,Rs.214.00
10-03-2015,Bru Instant Coffee - Container Free 100g,Rs.144.00
10-03-2015,Bru Instant Coffee - Pouch 50g,Rs.87.00
10-03-2015,Coca Cola Zero - Tin 300ml x 4,Rs.100.00
10-03-2015,Kinley 500ml x 24,Rs.240.00
10-03-2015,Kinley Water 1Ltr x 15,Rs.300.00
10-03-2015,Leo Filter Coffee - House Blend 200g,Rs.92.00
10-03-2015,Protinex Chocolate Powder 400g,Rs.445.00
10-03-2015,Protinex Diabetes Care 200g,Rs.230.00
10-03-2015,Protinex Vanilla Flavor 400g,Rs.405.00
10-03-2015,Red Bull 250ml,Rs.95.00
10-03-2015,Red Bull 250ml x 4,Rs.360.00
10-03-2015,Red Bull Sugarfree 250ml,Rs.95.00
10-03-2015,Tata Chakra Gold - Premium Tea 50g,Rs.23.00
10-03-2015,Tata Chakra Gold - Premium Tea 500g,Rs.205.00
10-03-2015,3 Roses Natural Care 250gm,Rs.125.00
10-03-2015,3 Roses Top Star Tea 100g,Rs.42.00
10-03-2015,7up - Tin 250ml,Rs.25.00
10-03-2015,Bournvita - 5 Star Magic 500g,Rs.200.00
10-03-2015,Bournvita - Jar 500g,Rs.205.00
10-03-2015,Bournvita - Pouch 500g,Rs.200.00
10-03-2015,Bru Green Label (Roast & Ground) - Pouch 500g,Rs.155.00
10-03-2015,BRU Super Strong 500g,Rs.330.00
10-03-2015,Coca Cola Coke Diet Drink - Tin 300ml,Rs.30.00
10-03-2015,Coca Cola Soft Drink 600ml,Rs.33.00
10-03-2015,Coca Cola Soft Drink - Tin 300ml,Rs.25.00
10-03-2015,Complan - Chocolate Flavour 200g,Rs.113.50
10-03-2015,Complan - Kesar Badam  400g,Rs.232.00
10-03-2015,Complan - Memory Charges Choco Badam Chips 400g,Rs.228.00
10-03-2015,Complan - Natural Plain 500g,Rs.209.00
10-03-2015,Complan - Pista Badam  400g,Rs.235.00
10-03-2015,Complan - Strawberry Flavour 500g,Rs.225.00
10-03-2015,Boost - Jar 200g,Rs.99.00
10-03-2015,D-Protin Chocolate 400g,Rs.400.00
10-03-2015,D-Protin Vanilla 200g,Rs.225.00
10-03-2015,Leo Coffee & Chicory  Madras Blend Roast and Ground 200g,Rs.68.00
10-03-2015,Leo Coffee & Chicory - Breakfast Blend Roast and Ground 200g,Rs.68.00
10-03-2015,Leo Filter Coffee - House Blend 100g,Rs.42.00
10-03-2015,Leo Filter Coffee - Top Blend - Roast and Ground 200g,Rs.100.00
10-03-2015,B-Protin Chocolate 200g,Rs.218.00
10-03-2015,B-Protin Dry Fruit 200g,Rs.330.00
10-03-2015,B-Protin Mango 200g,Rs.218.00
10-03-2015,B-Protin Pinapple Fruit 200g,Rs.218.00
10-03-2015,7up 600ml,Rs.34.00
10-03-2015,Lehar Soda 600ml,Rs.15.00
10-03-2015,Minute Maid - Pulpy Orange 1Ltr.,Rs.60.00
10-03-2015,Mirinda 1Ltr.,Rs.45.00
10-03-2015,Mirinda - Tin 250ml,Rs.25.00
10-03-2015,Mirinda Apple 600ml,Rs.34.00
10-03-2015,Mirinda Orange 600ml,Rs.33.00
10-03-2015,Mountain Dew 600ml,Rs.33.00
10-03-2015,Pepsi 600ml,Rs.34.00
10-03-2015,Pepsi - Tin 250ml,Rs.20.00
10-03-2015,Rasna Fruitfun Lemon 200g,Rs.40.00
10-03-2015,Slice 1.2 Ltr,Rs.65.00
10-03-2015,Thums Up 1Tin,Rs.30.00
10-03-2015,Thums Up 600ml,Rs.33.00
10-03-2015,Thums Up 400ml,Rs.20.00
10-03-2015,Tropicana - Apple 1Ltr,Rs.95.00
10-03-2015,Tropicana - Apple 200ml,Rs.20.00
10-03-2015,Tropicana - Grape 1Ltr,Rs.105.00
10-03-2015,Tropicana - Guava 1Ltr,Rs.95.00
10-03-2015,Tropicana - Juicy Apple 1Ltr,Rs.95.00
10-03-2015,Tropicana - Juicy Orange 1Ltr,Rs.95.00
10-03-2015,Tropicana - Litchi Delight 1Ltr,Rs.95.00
10-03-2015,Tropicana - Litchi Delight 200ml,Rs.20.00
10-03-2015,Tropicana - Mango 1Ltr,Rs.95.00
10-03-2015,Tropicana - Mixed Fruit 1Ltr,Rs.95.00
10-03-2015,Tropicana - Orange 200ml,Rs.20.00
10-03-2015,Tropicana - Orange 1Ltr,Rs.95.00
10-03-2015,Tropicana - Pine Apple 1Ltr,Rs.90.00
10-03-2015,Tropicana - Tomato 1Ltr,Rs.90.00
10-03-2015,Red Label Tea 500g,Rs.198.00
10-03-2015,Red Label Tea - Natural Care 500g,Rs.213.00
10-03-2015,Red Label Tea - Natural Care (Pouch) 1Kg,Rs.435.00
