date,product with quantity,price
10-03-2015,Pomegranate 500g,Rs.85.00
10-03-2015,Tomato (Banglore) - Thakkali (Bengaluru) 1Kg,Rs.22.00
10-03-2015,Tomato (Local) - Naattu Thakkali 1Kg,Rs.15.00
10-03-2015,Carrot 500g,Rs.16.00
10-03-2015,Apple - Fuji 1Kg,Rs.210.00
10-03-2015,Apple - Royal 1Kg,Rs.200.00
10-03-2015,Apple - Washington 1Kg,Rs.185.00
10-03-2015,Green Apple 1Kg,Rs.240.00
10-03-2015,Potato - Urulaikizhangu 1Kg,Rs.22.00
10-03-2015,Beet Root 500g,Rs.15.00
10-03-2015,Pine Apple 1No.,Rs.40.00
10-03-2015,Banana - Ellaki 1Kg,Rs.64.00
10-03-2015,Banana - Hills 1Kg,Rs.65.00
10-03-2015,Banana - Karpooravalli 1Kg,Rs.60.00
10-03-2015,Banana - Nenthram 1Kg,Rs.70.00
10-03-2015,Banana - Poovan 1Kg,Rs.65.00
10-03-2015,Banana - Rasthali 1Kg,Rs.60.00
10-03-2015,Banana - Red (Chevaalai) 1Kg,Rs.70.00
10-03-2015,Ladies Finger - Vendikaai 500g,Rs.15.00
10-03-2015,Baby Potato - Chinna Urulaikilangu 500g,Rs.21.00
10-03-2015,Coccinia - Kovagai 500g,Rs.15.00
10-03-2015,Brinjal - Katharikkaai 500g,Rs.15.00
10-03-2015,Brinjal Long - Katharikkaai (Ujala) 500g,Rs.21.00
10-03-2015,Cabbage Green - Muttaigose 500g,Rs.15.00
10-03-2015,Cauliflower (Medium) 1No.,Rs.37.00
10-03-2015,Bottle Gourd - Sorakkaai 1No.,Rs.24.00
10-03-2015,Watermelon 3Kgs,Rs.70.00
10-03-2015,Beans Broad - Avarakkaai 500g,Rs.17.00
10-03-2015,Beans Fresh Ring - Pinju Beans 500g,Rs.17.00
10-03-2015,Grapes - Green Seedless 500g,Rs.48.00
10-03-2015,Grapes - Australia 500g,Rs.195.00
10-03-2015,Grapes - Black Seedless 500g,Rs.75.00
10-03-2015,Snake Gourd (Small) - Pudalangaai 500g,Rs.20.00
10-03-2015,Beans Butter 500g,Rs.95.00
10-03-2015,Chow Chow 500g,Rs.17.00
10-03-2015,Coriander - Kotthamalli 1No.,Rs.4.00
10-03-2015,Curry Leaves - Karuvaepillai ,Rs.2.00
10-03-2015,Guava - White 500g,Rs.35.00
10-03-2015,Spinach (Mint Leaves) - Pudina 1No.,Rs.4.00
10-03-2015,Chilli Green - Pachai Milagai 100g,Rs.4.00
10-03-2015,Muskmelon 1kg,Rs.54.00
10-03-2015,Capsicum - Green 500g,Rs.21.00
10-03-2015,Capsicum - Red 500g,Rs.65.00
10-03-2015,Capsicum - Yellow 500g,Rs.65.00
10-03-2015,Chilli Bajji Yellow Wax 500g,Rs.30.00
10-03-2015,Drumstick - Murungakai 2Nos,Rs.20.00
10-03-2015,Onion (Sambar) Small - Sambar Vengaayam 500g,Rs.35.00
10-03-2015,Onion - Ballaari Vengaayam 1Kg,Rs.25.00
10-03-2015,Orange 1Kg,Rs.125.00
10-03-2015,Orange- Kamala 1kg,Rs.60.00
10-03-2015,Coconut 1No.,Rs.23.00
10-03-2015,Ginger (Fresh) -  Injhi 250g,Rs.15.00
10-03-2015,Lemon 250g,Rs.17.00
10-03-2015,Papaya 1Kg,Rs.42.00
10-03-2015,Banana (Raw) - Vazhaikaai 3Nos,Rs.18.00
10-03-2015,Bitter Gourd Long - Pagarkkaai 500g,Rs.29.00
10-03-2015,Bitter Gourd Small - Pagarkkaai (Small) 500g,Rs.25.00
10-03-2015,Cabbage Red - Red Muttaigose 500g,Rs.45.00
10-03-2015,Radish - Red 250g,Rs.16.00
10-03-2015,Radish - White 500g,Rs.11.00
10-03-2015,Sweet Lime (Mosambi) - (Sathukudi) 1Kg,Rs.65.00
10-03-2015,Garlic - Vellai Poondu 250g,Rs.42.00
10-03-2015,Garlic(Hills) - Malai Poondu 500gm ,Rs.100.00
10-03-2015,Beet Grace - Pidi Kizhangu 500g,Rs.42.00
10-03-2015,Colocasia - Sappankilangu 500g,Rs.25.00
10-03-2015,Sweet Potato 500g,Rs.19.00
10-03-2015,Tapioca - Kappakizhangu 500g,Rs.33.00
10-03-2015,Tapioca - Kappakizhangu 250g,Rs.16.50
10-03-2015,Yam 500g,Rs.17.00
10-03-2015,Baby corn- Baby Makkachollam 1Kg,Rs.70.00
10-03-2015,Baby corn- Baby Makkachollam (Peeled) 200g,Rs.40.00
10-03-2015,Sapota 500g,Rs.30.00
10-03-2015,Spring onion 1No.,Rs.10.00
10-03-2015,Sprouts (Mixed Gram) 200g,Rs.20.00
10-03-2015,Sweet Corn - Makkacholam 500g,Rs.15.00
10-03-2015,Amla - Nellikkaai 250g,Rs.15.00
10-03-2015,Brocoli - Green Cauliflower 250g,Rs.35.00
10-03-2015,Beans Cluster - Seenivarakkai 500g,Rs.30.00
10-03-2015,Green Peas (Fresh) - Pachai Pattani 500g,Rs.35.00
10-03-2015,Green Peas Peeled (Fresh) - Pachai Pattani (Peeled) 200g,Rs.28.00
10-03-2015,Knol Knol - Nukkal 500g,Rs.13.00
10-03-2015,Banana Flower - Vazhai Poo 1Pc.,Rs.14.00
10-03-2015,Banana Stem - Vazhaithandu 1no,Rs.13.00
10-03-2015,Cucumber - Vellarikaai 500g,Rs.10.00
10-03-2015,English Cucumber - Vellari 500g,Rs.18.00
10-03-2015,Ash Gourd - Sampal Poosani 500g,Rs.16.00
10-03-2015,Pumpkin - Poosanikaai 500g,Rs.10.00
10-03-2015,Pumpkin Disco - Poosani (Sweet) 500g,Rs.19.00
10-03-2015,Ridge Gourd - Peergankaai 500g,Rs.18.00
10-03-2015,Spinach (Amarnath Polygonoides) - Siru Keerai 1 No.,Rs.10.00
10-03-2015,Spinach (Amarnath Spined) - Mulai Keerai 1 No.,Rs.10.00
10-03-2015,Spinach (August Tree) - Agathi Keerai 1 No.,Rs.10.00
10-03-2015,Spinach (Palak) - Pasalai Keerai 1 No.,Rs.10.00
10-03-2015,Spinach (Solanum nigrum) - Manathakali Keerai 1 No.,Rs.11.00
10-03-2015,Spinach - Arai Keerai 1 No.,Rs.10.00
