date,brand,product,quantity,price
10-03-2015,Exo,Exo Dish Shine Dishwash Bar,300gm,24.00
10-03-2015,Vim,Vim Double Power Lemon,1.5ltr,280.00
10-03-2015,Good home,Vegetable Fruit Wash,500ml,100.00
10-03-2015,SCOTCH BRITE,Scotch Brite Scrub Sponge Stays Firm with Sponge Backing,1no,25.00
10-03-2015,Vim,Vim Anti Germ Dishwash Bar,300gm,27.00
10-03-2015,Axion,Axion Grease Stripper Dish Washing,175gm,51.00
10-03-2015,Vim,Power Of 100Lemons,200gm,17.00
10-03-2015,Dettol,Dettol Healthy Kitchen Dish &amp; Slab Gel,130ml,20.00
10-03-2015,Gala,Gala Commando,1no,32.00
10-03-2015,Pril,Pril Perfect Active 2X Kraft Gel,225ml,52.00
10-03-2015,SCOTCH BRITE,Scotch Brite Floor Cloth Pochha,1no,75.00
10-03-2015,Exo,With Cyclozan Round Dish Shine,500gm,43.00
10-03-2015,Pitambari,Pitambari Dishwash Bar,400gm,28.00
10-03-2015,Vim,Vim Double Power Concentrated Gel,250ml,53.00
10-03-2015,Dettol,Dettol Kitchen Dish And Slab Gel,200ml,52.00
10-03-2015,Vim,Vim Double Power Concentrated Gel Lime,500ml,105.00
10-03-2015,Dettol,Dettol Kitchen Dish And Tough Grease,200ml,52.00
10-03-2015,A One,A One Dishwash Gel Lime Splash,250ml,49.00
10-03-2015,A One,A One Dishwash Gel Lemon Blast,150ml,20.00
10-03-2015,Veg,Wash,500ml,99.00
