date,brand,product,quantity,price
10-03-2015,Head&shoulders,Anti-Dandruff Shampoo - Anti Hairfall Bottle,675ml,468.00
10-03-2015,Revlon,Top Speed 68 Brownish Black 40G,40gm,625.00
10-03-2015,Loreal,Paris Total Repair 5 Repairing Shampoo Damaged Hair,360ml,235.00
10-03-2015,Halo,Nourishing Shampoo,1ltr,260.00
10-03-2015,Loreal,Paris 300 Darkest Brown Crme Glo,1no,545.00
10-03-2015,Loreal,Paris Total Repair Repairing Conditioner,175ml,150.00
10-03-2015,Dove,Hair Therapy Damage Solutions,650ml,385.00
10-03-2015,Godrej,Export Hair Colour Natural Brown 4.00,1no,30.00
10-03-2015,Vvd,Gold Pur Coconut Oil,175ml,60.00
10-03-2015,Vvd,Gold Pur Coconut Oil,50ml,16.00
10-03-2015,Vvd,Gold Pure Coconut Oil,100ml,34.00
10-03-2015,Dabur,Amla Hair Oil,216ml,84.00
10-03-2015,Revlon,Hair Color - Color Silk Deep Burgundy,40ml,332.00
10-03-2015,Patanjali,almon Hair Oil,100ml,50.00
10-03-2015,Dove,Dryness Care  Shampoo,340ml,255.00
10-03-2015,Biotique,Botanicals Shampoo&amp;Conditioner Bio Green Apple,120ml,99.00
10-03-2015,Head&shoulders,Smooth &amp; silky,80ml,79.00
10-03-2015,Tresemme,Hair Fall Conditioner,90ml,72.00
10-03-2015,Sunsilk,Thomas Nourishing Soft &amp; Smooth Shampoo,340ml,220.00
10-03-2015,Bajaj,Almond Drops Nonst Hair Oil,300ml,142.00
10-03-2015,Patanjali,Kesh Kanti Anti Danruff Hair Cleanser,200ml,110.00
10-03-2015,Dheedhi,Hair Care Herbal Shampoo,100ml,88.00
10-03-2015,Dheedhi,Hair Care Herbal Shampoo,200ml,166.00
