date,product with quantity,price
10-03-2015,Cinthol Soap - Confidence+ 75g x 3,Rs.68.00
10-03-2015,Colgate Toothbrush - Zig Zag Medium 2+1Free,Rs.50.00
10-03-2015,Dove Bathing Soap - White Beauty 100g x 3,Rs.177.00
10-03-2015,Garnier White Complete Eye Roll-on 15ml,Rs.199.00
10-03-2015,Gillette 7'o Clock PII Razor 1Pack,Rs.85.00
10-03-2015,Oral B All Rounder Cavity Defense123 Toothbrush (M) 2in1,Rs.38.00
10-03-2015,Oral B All Rounder Cavity Defense123 Toothbrush (S) 1No.,Rs.24.00
10-03-2015,Oral B Pro Health Cross Action Tooth Brush (Medium) 2in1,Rs.120.00
10-03-2015,Oral B Pro Health Cross Action Tooth Brush (Soft) 2's Pack,Rs.110.00
10-03-2015,Oral B Pro Health Gum Care Tooth Brush (Soft)  2+1 Free,Rs.158.00
10-03-2015,Oral B Pro Health Gum Care Tooth Brush (Soft)  2in1,Rs.126.00
10-03-2015,Oral B Pro Health Sensitive Tooth Brush (Extra Soft)  2+1Free,Rs.158.00
10-03-2015,Oral B Pro Health Tooth Brush (Medium) 2+1 Free,Rs.138.00
10-03-2015,Oral B Pro Health Tooth Brush (Medium) 2's Pack,Rs.109.00
10-03-2015,Oral B Pro Health Tooth Brush (Soft) 2+1 Free,Rs.138.00
10-03-2015,Oral B Sensitive Super Thin Tooth Brush (Extra Soft)  2in1,Rs.80.00
10-03-2015,Oral B Sensitive Super Thin Tooth Brush (Extra Soft)  2+1 Free,Rs.100.00
10-03-2015,Oral B Sensitive Whitening Tooth Brush (Soft) 2+1 Free,Rs.80.00
10-03-2015,Oral B Sensitive Whitening Tooth Brush (Soft) 2in1,Rs.64.00
10-03-2015,Pantene Anti Dandruff Shampoo 180ml,Rs.155.00
10-03-2015,Pantene Daily Moisture Repair Conditioner 175ml,Rs.155.00
10-03-2015,Pantene Daily Moisture Repair Shampoo 340ml,Rs.259.00
10-03-2015,Pantene Hair Fall Control Conditioner 175ml,Rs.139.00
10-03-2015,Pantene Hair Fall Control Shampoo 340ml,Rs.259.00
10-03-2015,Pantene Lively Clean Shampoo 180ml,Rs.155.00
10-03-2015,Pantene Long Black Shampoo 180ml,Rs.155.00
10-03-2015,Pantene Nature Fusion Fullness & Life Conditioner 75ml,Rs.69.00
10-03-2015,Pantene Nature Fusion Fullness & Life Conditioner 175ml,Rs.129.00
10-03-2015,Pantene Nature Fusion Fullness & Life Shampoo 320ml,Rs.259.00
10-03-2015,Pantene Nature Fusion Smoothness & Life Conditioner 175ml,Rs.139.00
10-03-2015,Pantene Nature Fusion Smoothness & Life Shampoo 320ml,Rs.204.00
10-03-2015,Pantene Total Damage Care Conditioner 175ml,Rs.139.00
10-03-2015,Pantene Total Damage Care Shampoo 340ml,Rs.259.00
10-03-2015,Savlon Antiseptic Liquid 100ml,Rs.26.00
10-03-2015,Savlon Antiseptic Liquid ( Big) 1Ltr,Rs.180.00
10-03-2015,Savlon LIquid Handwash 250ml,Rs.99.00
10-03-2015,Whisper Choice Regular 8's,Rs.29.00
10-03-2015,Whisper Choice Ultra Wings 6's,Rs.40.00
10-03-2015,Whisper Choice Wings 8's,Rs.32.00
10-03-2015,Whisper Maxi Fit L Wings 8's,Rs.77.00
10-03-2015,Banjaras Saffron Gel SPF 25 150g,Rs.250.00
10-03-2015,Banjaras Saffron Serem  60ml,Rs.600.00
10-03-2015,Banjaras Sandal Face Pack 100g,Rs.85.00
10-03-2015,Banjaras Skin Lightening Face Wash  100ml,Rs.100.00
10-03-2015,Banjaras Skin Lightening Peel Off Kit 1Pce,Rs.550.00
10-03-2015,Banjaras Skinlightening Gel 100g,Rs.95.00
10-03-2015,Banjaras Summer Glow Face Pack 100g,Rs.125.00
10-03-2015,Banjaras Sunscreen Saffron SPF40 1Pce,Rs.200.00
10-03-2015,Banjaras Sunscreen Saffron SPF60 1Pce,Rs.250.00
10-03-2015,Banjaras Under Eye Cream 50g,Rs.175.00
10-03-2015,Banjaras Under Eye Gel  175g,Rs.120.00
10-03-2015,Biotique New Kelp Shampoo  190ml,Rs.159.00
10-03-2015,Biotique Saffron Youth Dew 225g,Rs.480.00
10-03-2015,Biotique Saffron Youth Dew 65g,Rs.199.00
10-03-2015,Biotique Sea Kelp Conditoner 120ml,Rs.135.00
10-03-2015,Biotique Seakelp Shower Gel Man  210 ml,Rs.180.00
10-03-2015,Biotique Seaweed Eye Gel 16 Gms,Rs.199.00
10-03-2015,Biotique Soya Protein Clenser 120ml,Rs.99.00
10-03-2015,Biotique Soya Protein Clenser 210ml,Rs.159.00
10-03-2015,Biotique Sunflower Lip Balm 16 Gms,Rs.135.00
10-03-2015,Biotique Thyme A Shamp Conditioner 210ml,Rs.159.00
10-03-2015,Biotique Walnut PP Scrub 225g,Rs.520.00
10-03-2015,Biotique Walnut Skin Polisher 50 Gms,Rs.199.00
10-03-2015,Biotique Wheat Germ Cream 65g,Rs.199.00
10-03-2015,Biotique Winter Cherry Lotion 210 ml,Rs.180.00
10-03-2015,Biotique Winter Green Cream 16 Gms,Rs.199.00
10-03-2015,Black Rose Kali Mehandi Box 10g,Rs.60.00
10-03-2015,Chandrika Soap 75g x 3,Rs.66.00
10-03-2015,Cinthol Soap - Cool 75g x 3,Rs.68.00
10-03-2015,Cinthol Soap - Deo 75g x 3,Rs.68.00
10-03-2015,Cinthol Soap Old 75g,Rs.24.00
10-03-2015,Cinthol Soap Old 100g,Rs.33.00
10-03-2015,Cinthol Soap Old 100g x 4,Rs.132.00
10-03-2015,Cinthol Talc - Orginal 100g,Rs.45.00
10-03-2015,Clean & Clear Dual Action Oil-Free Moisturizer 50g,Rs.50.00
10-03-2015,Clean & Clear Essentials Moisturiser 100g,Rs.80.00
10-03-2015,Clean & Clear Face Wash - Brightening Berry 100ml,Rs.99.00
10-03-2015,Clean & Clear Face Wash - Deep Action Oil Control 80ml,Rs.90.00
10-03-2015,Clean & Clear Face Wash - Energizing Lemon 50ml,Rs.55.00
10-03-2015,Clean & Clear Face Wash - Pimple Clearing 80g,Rs.99.00
10-03-2015,Dabur Red Tooth Powder 100g,Rs.35.00
10-03-2015,Dermi Cool Aloe Green 100g,Rs.38.00
10-03-2015,Dermi Cool Citrus - Lime 150g,Rs.69.00
10-03-2015,Dermi Cool Cucumber 150g,Rs.72.00
10-03-2015,Dermi Cool Freshness Pink 50g,Rs.20.00
10-03-2015,Dermi Cool Khus Pink 100g,Rs.38.00
10-03-2015,Dermi Cool Lavender 50g,Rs.20.00
10-03-2015,Dermi Cool Mandarine Orange 100g,Rs.38.00
10-03-2015,Dermi Cool Melon 150g,Rs.60.00
10-03-2015,Dermi Cool Nourishment Green 300g,Rs.80.00
10-03-2015,Dermi Cool Protection Blue 300g,Rs.85.00
10-03-2015,Dermi Cool Regular 150g,Rs.69.00
10-03-2015,Dermi Cool Sandal 150g,Rs.69.00
10-03-2015,Dermi Cool Teatree Blue 100g,Rs.38.00
10-03-2015,Dettol Antiseptic Liquid 110 ml,Rs.30.00
10-03-2015,Dettol Bathing Soap - Cool 75g x 4,Rs.86.00
10-03-2015,Dettol Bathing Soap - Cool 75g x 3,Rs.63.00
10-03-2015,Dettol Bathing Soap - Original 75g x 3,Rs.66.00
10-03-2015,"Dettol Bathing Soap - Re-energize Original, Skincare, Cool 75g x 4",Rs.83.00
10-03-2015,Dettol Bathing Soap - Skin Care 125 Gms,Rs.39.00
10-03-2015,Dettol Body Wash - Cool Menthol 250 ml,Rs.145.00
10-03-2015,Dettol Hand Wash - Fresh Citrus Frangrance 900ml,Rs.256.00
10-03-2015,Dettol Hand Wash - Original (Pouch) 185 ml,Rs.31.00
10-03-2015,Dettol Hand Wash - re energize ph Balanced  ,Rs.179.00
10-03-2015,Dettol Hand Wash - Sensitive 225ml,Rs.69.00
10-03-2015,Dettol Hand Wash - Sensitive with Pure Glycerin 900 ml,Rs.165.00
