name,weight,price
Saffola Total,1lt,195.00
Marico Saffola Active,1lt,115.00
Marico Saffola Tasty Oil,1lt,130.00
Marico Saffola Gold,2lt,300.00
Saffola Gold 5 Litre Pack,5lt,750.00
Sundrop Superlite Advanced (Pouch),1lt,165.00
Sundrop Superlite Advanced,2lt,206.00
Sundrop Superlite,1lt,170.00
Sundrop Nutrilite,1lt,135.00
Sundrop Heart,1lt,180.00
Sundrop GoldLite (Pouch),1lt,99.00
Sundrop GoldLite,1lt,104.00
Sundrop FreshLite,1lt,125.00
Nutrela Refined Sunflower Oil,5lt,675.00
Nutrela Refined Soyabean Oil,Pouch of 1lt,110.00
Nutrela Refined Palmolein Oil,Pouch of 1lt,94.00
Nutrela Pure Mustard Oil,Bottle of 1lt,150.00
Nature Fresh Kachi Ghani Pure Mustard Oil,1lt,140.00
Nature Fresh Acti-lite Refined Soyabean Oil,1lt,132.00
Fortune Sunlite Refined Sunflower Oil,1lt,125.00
Fortune Refined Soyabean Oil,Pouch of 1lt,110.00
Fortune Kachi Ghani Pure Mustard Oil,Bottle of 0.5lt,65.00
Borges Pure Olive Oil,250ml,271.00
Borges Extra Virgin Olive Oil,250ml,280.00
Borges Extra Light Olive Oil,250ml,250.00
Dalda Soyabean oil,Pouch of 1lt,117.00
Dalda Sunflower Oil,Pouch of 1lt,115.00
Dalda Groundnut oil,Pet Bottle of 1lt,185.00
Dalda Kachi Ghani Mustard Oil,500ml,58.50
Oleev Pomace Olive Oil,15lt,5550.00
Oleev Active Oil,1 PPlt,165.00
Oleev Extra Virgin Olive Oil,500ml,495.00
Oleev Extra Light Olive Oil,500ml,475.00
Fortune Filtered Groundnut Oil,1lt,160.00
Fortune Plus Soyabean Oil,1lt,113.00
Fortune Plus Sunlite Sunflower Oil,1lt,115.00
Del Monte Extra Virgin Olive Oil,500ml,450.00
Farrell Extra Virgin Olive Oil,1lt,799.00
Farrell Pure Olive Oil,1lt,975.00
Farrell Pomace Oil,1000ml,525.00
Saffola Total,1lt,195.00
Maggi Tomato Ketchup,1kg,126.00
Sofit Soya Milk Chocolate,1lt,95.00
Cinthol Play Deo Spray,215ml,175.00
Cinthol Cool Soap,125gms,38.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
Godrej Aer Spray Musk After Smoke,300ml,120.00
Cinthol Ignite Deo Spray,215ml,175.00
Aashirvaad Whole Wheat Atta,5kg,215.00
Parampara Butter Chicken,60gms,45.00
Jivo Canola Cooking Oil,1lt,395.00
Fortune Rice Bran Health Oil,1lt,115.00
Gaia Extra light Olive Oil,500ml,300.00
Ricela Rice Bran Oil,1lt,135.00
Hudson Canola Oil,1lt,599.00
Leonardo Extra Virgin Olive Oil,250ml,250.00
Leonardo Olive Oil,100ml,130.00
Leonardo Olive Pomace Oil,250ml,249.00
Pepsi,2lt,78.00
Tata Tea Agni Leaf,100gms,29.00
Cinthol Deo Talc Cool,50gms,25.00
Aashirvaad Whole Wheat Atta,5kg,215.00
Saffola Total,1lt,195.00
Cinthol Play Deo Spray,215ml,175.00
Coca Cola,1.25lt,49.00
Kissan Mixed Fruit Jam,100gms,24.00
Aashirvaad Select MP Sharbati Atta,5kg,245.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
