name,weight,price
Wipro Safewash,500ml,150.00
Ujala Supreme Fabric Whitener,75ml,14.00
Tide Plus Jasmine & Rose,500gms,48.00
Tide Plus Dirt Magnets,500gms,48.00
Tide Naturals Lemon & Chandan,215gms,10.00
Tide Bar,100gms,5.00
Surf Excel Quick Wash Detergent,200gms,36.00
Surf Excel Matic Top Load,500gms,104.00
Surf Excel Matic Front Load,500gms,114.00
Surf Excel Gentle Wash,80ml,180.00
Surf Excel Detergent Bar,72gms,7.00
Surf Excel Easy Wash,190gms,25.00
Robin Dazzling Liquid Blue,Tray Pack of 75ml,13.00
Rin Detergent Powder,200gms,10.00
Rin Bar,91gms,5.00
Mr. White Long Lasting Whiteness Powder,1kg,72.00
Mr. White Long Lasting Whiteness Bar,200gms,6.00
Henko Stain Champion Detergent Powder,500kg,65.00
Henko Stain Champion Bar,250gms,23.00
Henko Matic Stain Champion,500gms,53.00
Godrej Ezee Liquid Detergent,200ml,40.00
Ghari Detergent Powder,3kg,140.00
Ghari Detergent Bar,290gms,10.00
Comfort Lilly Fresh Pink,200ml,40.00
Comfort Blue Fabric Conditioner,200ml,42.00
Ariel Oxyblu Front-O-Mat Canister,2kg,398.00
Ariel Oxyblu Front-O-Mat,1kg,199.00
Ariel Oxyblu,200gms,36.00
Active Wheel Lemon & Orange,500gms,22.00
Active Wheel Lemon & Jasmine,500gms,20.00
Active Wheel Green Bar,150gms,5.00
Active Wheel Blue Bar,125gms,6.00
Vanish Stain Remover,Liquid 180ml,30.00
Fena Ultra Detergent Bar,120gms,5.00
Fena Ultra Detergent Powder,250gms,10.00
Nirma Shakti Detergent Powder,600gms,20.00
Surf Excel Detergent Liquid,1.5lt,230.00
Ariel Matic,500gms,117.00
Aashirvaad Select MP Sharbati Atta,5kg,245.00
Aashirvaad Whole Wheat Atta,5kg,215.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
Pepsi,2lt,78.00
Real Apple Juice,1lt,95.00
Kissan Mixed Fruit Jam,100gms,24.00
Pillsbury Gold Atta,5kg,225.00
Pillsbury Custard Powder Golden Vanilla,100gms,35.00
Sofit Soya Milk Chocolate,1lt,95.00
Maggi Tomato Ketchup,1kg,126.00
