name,weight,price
Pillsbury Multigrain Atta,1kg,47.00
Pillsbury Gold Atta,5kg,225.00
Pillsbury Chakki Fresh Atta,5kg,165.00
Shakti Bhog Besan,500gms,44.00
Shakti Bhog Atta,10kg,370.00
Rajdhani Urad Sabut Dal,1kg,99.00
Rajdhani Urad Dhuli Dal,500gms,71.00
Rajdhani Safed Chana,500gms,41.50
Rajdhani Rajma Chitra,500gms,61.00
Rajdhani Moong Sabut Dal,1kg,152.00
Rajdhani Moong Dhuli Dal,1kg,154.00
Rajdhani Moong Chilka Dal,500ml,59.00
Rajdhani Masoor Sabut Dal,1kg,112.00
Rajdhani Masoor Dhuli Dal,1kg,110.00
Rajdhani Lal Rajma,1kg,130.00
Rajdhani Kala Chana,500gms,40.00
Rajdhani Chana Dal,1kg,110.00
Rajdhani Besan,500gms,38.00
Rajdhani Arhar Dal,1kg,142.00
Parakh Royal Basmati Rice,5kg,750.00
Mangat Ram Urad Sabut Dal,500gms,55.50
Mangat Ram Urad Dhuli Dal,500gms,61.50
Mangat Ram Urad Chilka Dal,500gms,56.00
Mangat Ram Safed Matar,500gms,25.00
Mangat Ram Safed Lobia,500gms,51.00
Mangat Ram Rajma Chitra,500gms,73.50
Mangat Ram Panchmel Dal,500gms,53.00
Mangat Ram Moong Sabut Dal,500gms,58.50
Mangat Ram Moong Dhuli Dal,500gms,68.50
Mangat Ram Moong Chilka Dal,500gms,60.00
Mangat Ram Masoor Sabut Dal,500gms,47.50
Mangat Ram Masoor Dhuli Dal,1kg,101.00
Mangat Ram Masoor Dal,500gms,42.00
Mangat Ram Lal Rajma,500gms,53.00
Mangat Ram Lal Lobhia,500gms,42.00
Mangat Ram Kala Chana,500gms,30.00
Mangat Ram Kabuli Chana,500gms,56.00
Mangat Ram Hara Matar,500gms,27.00
Mangat Ram Chana Dal,500gms,37.00
Mangat Ram Arhar Dal,1kg,126.00
Godrej Aer Spray Musk After Smoke,300ml,120.00
Sofit Soya Milk Chocolate,1lt,95.00
Maggi Tomato Ketchup,1kg,126.00
Aashirvaad Select MP Sharbati Atta,5kg,245.00
Lipton Green Tea Lemon Zest Tea Bags,20 Tea Bagsnos.,105.00
Kissan Mixed Fruit Jam,100gms,24.00
Robinsons Fruit Shoot Fruit Drink Apple & ...,300ml,30.00
Parampara Butter Chicken,60gms,45.00
Saffola Total,1lt,195.00
Pillsbury Custard Powder Golden Vanilla,100gms,35.00
Kohinoor Silver Basmati Rice,1kg,160.00
Kohinoor Platinum Basmati Rice,1kg,173.00
Kohinoor Gold Basmati Rice,5kg,980.00
India Gate Basmati Rice Dubar,1kg,125.00
Daawat Brown Rice,1kg,145.00
Daawat Basmati Rice Super,1kg,165.00
Daawat Basmati Rice Select,1kg,174.00
Daawat Basmati Rice Rozana,1kg,110.00
Daawat Rozana Basmati Rice Gold,5kg,473.00
Ahaar Super Atta,5kg,205.00
Ahaar Sooji,500gms,25.00
Ahaar Maida,500gms,38.00
Ahaar Besan,500gms,37.00
Aashirvaad Whole Wheat Atta,5kg,215.00
Aashirvaad Select MP Sharbati Atta,5kg,245.00
Aashirvaad Atta with Multi-Grains,5kg,255.00
Kohinoor Charminar Basmati Rice,1kg,93.00
Rajdhani Maida,500gms,35.00
Rajdhani Sooji,500gms,24.00
India Gate Basmati Rice Feast Rozzana,1kg,105.00
India Gate Basmati Rice Super,1kg,170.00
India Gate Basmati Rice Tibar,1kg,113.00
Tata i-Shakti Arhar Dal,500gms,55.00
Tata i-Shakti Chana Dal,500gms,50.00
Tata i-Shakti Urad Dhuli Dal,500gms,55.00
Kohinoor Everyday Basmati Rice,1kg,120.00
Kohinoor Super Basmati Rice,1kg,270.00
Nature Fresh Chakki Atta,10kg,340.00
India Gate Basmati Rice Mogra,5kg,380.00
Shakti Bhog Premium Gold Basmati Rice,1kg,150.00
Radikal Apica Basmati Rice,5kg,575.00
Bagrrys Porridge Oats For Suji,200gms,50.00
Bagrrys Oats For Atta,500gms,99.00
Bagrrys Porridge Oats For Rice,200gms,50.00
Best Select Basmati Rice,1kg,180.00
Jagat Brown Rice,5kg,750.00
Jagat Malai Basmati Rice,1kg,165.00
Jagat Khushboo Basmati Rice,1kg,152.00
Jagat  Manpasand Basmati Rice,1kg,148.00
Jagat Sadabahar Basmati Rice,1kg,128.00
Dermicool Regular Talc,150gms,63.00
Pillsbury Fridge Cheesecake Chocolate,165gms,125.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
Pillsbury Custard Powder Golden Vanilla,100gms,35.00
Coca Cola,1.25lt,49.00
Amul Pasteurised Butter,100gms,35.00
Kissan Mixed Fruit Jam,100gms,24.00
Parampara Butter Chicken,60gms,45.00
Cadbury Biscuits Oreo Choco Creme,117.6gms,30.00
Pillsbury Moist Supreme Rich Choco Cake Mix,285gms,125.00
Jagat Super Everyday Basmati Rice,1kg,153.00
Jagat Royal Anmol Rice,10kg,860.00
Fortune Besan,1kg,80.00
Cinthol Cool Soap,125gms,38.00
Cinthol Play Deo Spray,215ml,175.00
Saffola Total,1lt,195.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
Coca Cola,1.25lt,49.00
Pillsbury Multigrain Atta,1kg,47.00
Godrej Aer Spray Musk After Smoke,300ml,120.00
Real Apple Juice,1lt,95.00
Tata Tea Agni Leaf,100gms,29.00
Amul Pasteurised Butter,100gms,35.00
