date,product with quantity,price
10-03-2015,Himalaya Gentle Baby Bar Soap - Oils of Olive & Almond 75g,Rs.35.00
10-03-2015,Himalaya Gentle Baby Bath - Chickpea & Green Gram 100ml,Rs.70.00
10-03-2015,Himalaya Moisturizing Baby Soap - Olive & Almond Oil 125g,Rs.55.00
10-03-2015,Himalaya Moisturizing Baby Soap - Olive & Almond Oil 70g,Rs.35.00
10-03-2015,Nestle Lactogen - Follow Up Formula (Stage 2) 400g,Rs.270.00
10-03-2015,Nestle Lactogen - Follow Up Formula (Stage 3) 400g,Rs.263.00
10-03-2015,Nestle Lactogen - Follow Up Formula (Stage 4) 400g,Rs.256.00
10-03-2015,Nestle Lactogen - Infant Formula (Stage 1) 400g,Rs.276.00
10-03-2015,Nestle Lactogen - Infant Formula (Stage 1) Tin 400g,Rs.305.00
10-03-2015,Biotique Apple Cleanser Baby 210ml,Rs.150.00
10-03-2015,Biotique Berry Baby 210ml,Rs.150.00
10-03-2015,Doy Care Aloe Vera 75g,Rs.23.00
10-03-2015,Doy Care Creme Soap 75g x 4,Rs.69.00
10-03-2015,Doy Soap Elephant Mambo 75g,Rs.30.00
10-03-2015,Doy Soap Lion Samba 75g,Rs.25.00
10-03-2015,Doy Soap Princess 75g,Rs.35.00
10-03-2015,Doy Soap Teddy 75g,Rs.30.00
10-03-2015,Junior Horlicks Stage1 200g,Rs.111.00
10-03-2015,Junior Horlicks Stage1 - Chocolate 500g,Rs.226.00
10-03-2015,Junior Horlicks Stage1 - Strawberry 500g,Rs.200.00
10-03-2015,Junior Horlicks Stage1 - Vanilla Jar 500g,Rs.226.00
10-03-2015,Junior Horlicks Stage1- Vanilla 500g,Rs.235.00
10-03-2015,Amulspray Infant Milk Food - Refill 500g,Rs.179.00
10-03-2015,Amulspray Infant Milk Food - Tin 500g,Rs.185.00
10-03-2015,Mamy Poko Baby Wipes 20 Pcs,Rs.49.00
10-03-2015,Johnson's Baby Wipes - Baby Skincare 80 Pcs,Rs.199.00
10-03-2015,Himalaya Gentle Baby Wipes - Indian Lotus Aloe Vera 24 Pcs,Rs.70.00
10-03-2015,Himalaya Diaper Rash Cream - Almond Oil & Yashada Bhasma 20g,Rs.50.00
10-03-2015,Nestle Cerelac - Wheat - Rice Mango With Dates (Stage 3) 300g,Rs.200.00
10-03-2015,Nestle Cerelac - Wheat Apple (Stage 1) 300g,Rs.165.00
10-03-2015,Nestle Cerelac - Wheat Honey (Stage 2} 300g,Rs.187.00
10-03-2015,Nestle Cerelac - Wheat Mixed Fruit (Stage 3) 300g,Rs.198.00
10-03-2015,Nestle Cerelac - Wheat Mixed Vegetable (Stage 3) 300g,Rs.198.00
10-03-2015,Nestle Cerelac - Wheat Orange (Stage 2) 300g,Rs.190.00
10-03-2015,Nestle Cerelac Rice Vegetables (Stage 2) 300g,Rs.190.00
10-03-2015,Nestle Cerelac Wheat Rice Khichdi  (Stage 1) 300g,Rs.158.00
10-03-2015,Nestle Nan Pro 1 (6 Months+) Carton 400g,Rs.490.00
10-03-2015,Nestle Nan Pro 1 (6 Months+) Tin 400g,Rs.530.00
10-03-2015,Nestle Nan Pro 2 (6 Months+) Carton 400g,Rs.465.00
10-03-2015,Nestle Nan Pro 3 (12 Months+) Carton 400g,Rs.435.00
10-03-2015,Nestle Nan Pro 4 (18 Months+) 400g,Rs.455.00
10-03-2015,Nestle Nestum Rice (Stage 1) 300g,Rs.107.00
10-03-2015,Nestle Nestum Rice 3 Fruit (Stage 3) 300g,Rs.142.00
10-03-2015,Nestle Nestum Rice Dal (Stage 2) 300g,Rs.128.00
10-03-2015,Nestle Pre Nan 400g,Rs.470.00
10-03-2015,Pampers Active Baby (Belt Type) - Large (9-14 Kgs) 78 Pads,"Rs.1,249.00"
10-03-2015,Pampers Active Baby (Belt type) - Medium (6-11Kgs) 90 Pads,"Rs.1,249.00"
10-03-2015,Pampers Active Baby (Belt Type) - New Born 24 Pads,Rs.315.00
10-03-2015,Pampers Active Baby (Belt Type) - Small (3-8Kgs) 46 Pads,Rs.610.00
10-03-2015,Pampers Active Baby (Belt Type) - Xtra Large (12+ Kgs) 56 Pads,"Rs.1,199.00"
10-03-2015,Pampers Baby Dry Pants - Large (9-14Kgs) 52's Pack,Rs.690.00
10-03-2015,Pampers Baby Dry Pants - Medium (7-12Kgs) 60's Pack,Rs.690.00
10-03-2015,Pampers Baby Dry Pants - Small (4-8Kgs) 46's Pack,Rs.490.00
10-03-2015,Pampers Baby Dry Pants - Xtra Large (12+Kgs) 48's Pack,Rs.799.00
10-03-2015,Wipro Baby Oil 1+1 50ml,Rs.65.00
10-03-2015,Wipro Baby Soap Milk & Almond 1No.,Rs.40.00
10-03-2015,Wipro Feeder Blue (Pc) 250ml,Rs.95.00
10-03-2015,Wipro Feeder Blue (Pc) 125ml,Rs.85.00
10-03-2015,Wipro Feeder Rose (Pp) 250ml,Rs.65.00
10-03-2015,Wipro Feeder Rose (Pp) 125ml,Rs.60.00
10-03-2015,Wipro Silicon Nipple 1No.,Rs.27.00
10-03-2015,Himalaya Baby Cream 50ml,Rs.65.00
10-03-2015,Himalaya Baby Cream - Extra Soft & Gentle (Olive Oil Country Mallow) 100ml,Rs.120.00
10-03-2015,Himalaya Baby Lotion 200ml,Rs.145.00
10-03-2015,Himalaya Baby Massage Oil - (Olive Oil & Winter Cherry) 100ml,Rs.90.00
10-03-2015,Himalaya Baby Powder 100g,Rs.50.00
10-03-2015,Himalaya Baby Powder - Khus Grass 200g,Rs.95.00
10-03-2015,Himalaya Gentle Baby Bar Soap - Oils of Olive & Almond 125g,Rs.55.00
10-03-2015,Johnson's Baby Bed Time Bath 200ml,Rs.115.00
10-03-2015,Johnson's Baby Blossom Soap 75g,Rs.40.00
