date,product with quantity,price
10-03-2015,Sunfeast Dream Cream - Chocolate Vanilla 120g x 2,Rs.40.00
10-03-2015,Sunfeast Dream Cream - Strawberry Vanilla 120g,Rs.20.00
10-03-2015,Sunfeast Marie Light 150g x 2,Rs.30.00
10-03-2015,Sunfeast Marie Light - Oats 120g x 3,Rs.45.00
10-03-2015,Sunfeast Marie Light - Orange 120g x 3,Rs.45.00
10-03-2015,Sunfeast Milky Magic 100g x 3,Rs.30.00
10-03-2015,Sunfeast Sweet N Salt 200g x 2,Rs.40.00
10-03-2015,Sunfeast Yippee - Chinese Masala 75g x 2,Rs.30.00
10-03-2015,Sunfeast Yippee - Classic Masala 70gx4,Rs.40.00
10-03-2015,Sunfeast Yippee - Creamy Corn 70g x 2,Rs.40.00
10-03-2015,Sunfeast Yippee - Magic Masala 300g,Rs.40.00
10-03-2015,Sunfeast Yippee - Magic Masala 70g x 3,Rs.30.00
10-03-2015,Thaayyar Idli Dosa Wet Flour 600gm,Rs.38.00
10-03-2015,Thattai 250g,Rs.45.00
10-03-2015,Thattai 150g,Rs.30.00
10-03-2015,Top Ramen - Oat Noodles Creamy Cheese 280g,Rs.40.00
10-03-2015,Top Ramen - Oat Noodles Tangy Tomato 280g,Rs.55.00
10-03-2015,Top Ramen - Oat Noodles Yummy Masala 280g,Rs.72.00
10-03-2015,Top Ramen - Saucy Flat Noodles Curry Veg 300g,Rs.64.00
10-03-2015,Top Ramen - Super Noodles Chicken 300g,Rs.40.00
10-03-2015,Top Ramen - Super Noodles Masala 420g,Rs.60.00
10-03-2015,Top Ramen - Super Noodles Tomato 300g,Rs.40.00
10-03-2015,Unibic Butter Cookies 150g,Rs.35.00
10-03-2015,Unibic Cashew Cookies 150g,Rs.45.00
10-03-2015,Unibic Choco Chip Cookies 150g,Rs.40.00
10-03-2015,Unibic Choco Nut Cookies 150g,Rs.45.00
10-03-2015,Unibic Milk Cookies 150g,Rs.25.00
10-03-2015,Unibic Pista Badam Cookies 150g,Rs.50.00
10-03-2015,Wrigley's - Double Mint 20 Stick,Rs.200.00
10-03-2015,Wrigley's - Spearmint 20 Stick,Rs.200.00
10-03-2015,Wrigley's - Strawberry 20Stick,Rs.200.00
10-03-2015,Sakthi Dhall Rice Powder 100g,Rs.32.50
10-03-2015,Sakthi Garlic Rice Powder 100g,Rs.33.00
10-03-2015,Sakthi Lemon Rice Powder 50g,Rs.17.00
10-03-2015,Sakthi Tamarind Rice Powder - Puliyotharai Rice Powder 50g,Rs.17.00
10-03-2015,Nutella 160g,Rs.170.00
10-03-2015,Sundrop Peanut Butter Crunchy 462gm,Rs.250.00
10-03-2015,Britannia Treat - Chocolate 64g x 3,Rs.30.00
10-03-2015,Britannia Treat - Jim Jam 150g,Rs.25.00
