date,product with quantity,price
10-03-2015,Aachi Tomato Rice Powder 50g,Rs.15.00
10-03-2015,Gram Dal (Premium) - Kadalai Paruppu 1Kg,Rs.70.00
10-03-2015,Moong Dal (Premium) - Paasi Paruppu 1Kg,Rs.140.00
10-03-2015,Orid Dal (Premium) - Ulundham Paruppu 1Kg,Rs.99.00
10-03-2015,Toor Dal (Premium)  - Thuvaram Paruppu 1Kg,Rs.95.00
10-03-2015,Toor Dal - Premium (Unpolished) 1Kg,Rs.104.00
10-03-2015,Turmeric - Manjal 100g,Rs.20.00
10-03-2015,Aashirvaad Atta - Select 1Kg,Rs.49.00
10-03-2015,Aashirvaad Atta - Whole Wheat 5Kgs,Rs.209.00
10-03-2015,Aashirvaad Atta with Multigrains 5Kgs,Rs.248.00
10-03-2015,Aniseeds - Soombu 100g,Rs.24.00
10-03-2015,Boiled Rice - Ponni (Premium) 5Kgs,Rs.300.00
10-03-2015,Boiled Rice - Ponni (Standard) 5Kgs,Rs.275.00
10-03-2015,Boiled Rice - Ponni (Standard) ,Rs.56.00
10-03-2015,Cardomom -	 Elachi 50g,Rs.70.00
10-03-2015,Cardomom Powder -	 Elachi Powder ,Rs.14.00
10-03-2015,Carom Seeds - Omam 100g,Rs.34.00
10-03-2015,Cashewnuts - Cut 200g,Rs.153.00
10-03-2015,Cashewnuts - Whole 200g,Rs.178.00
10-03-2015,Channa Small - Sundakadalai (Black) 500g,Rs.39.50
10-03-2015,Channa White - Vellai Sundakadalai (Big) 500g,Rs.51.00
10-03-2015,Clove- Grambu 50g,Rs.82.00
10-03-2015,"Combo 1 (Pillsbury Atta 10kg, Fortune 5Ltr, India Gate 1Kg) ","Rs.1,048.00"
10-03-2015,Coriander Seeds (Premium) - Dhaniya 500g,Rs.103.00
10-03-2015,Coriander Seeds (Rajasthani) - Dhaniya 500g,Rs.150.00
10-03-2015,Cow Brand Raw Rice - Premium 5Kgs,Rs.310.00
10-03-2015,Cumin - Seeragam 100g,Rs.21.00
10-03-2015,Fenugreek - Venthayam 200gm,Rs.24.00
10-03-2015,Fig - Athipazham 100g,Rs.74.00
10-03-2015,Fortune Sunflower Oil 5Ltrs,Rs.555.00
10-03-2015,Fried Gram - Udachakadalai 500g,Rs.40.00
10-03-2015,Gold Winner Sunflower Oil 1Ltr,Rs.79.50
10-03-2015,Gold Winner Sunflower Oil - Jar 5Ltrs,Rs.452.00
10-03-2015,Gold Winner Vanaspathi 200ml,Rs.19.00
10-03-2015,GRB Ghee 200ml,Rs.105.00
10-03-2015,GRB Ghee - Pouch 100ml,Rs.56.00
10-03-2015,Greenish Baraka - Black Seed Oil (Kalonji Oil) 50ml,Rs.130.00
10-03-2015,Idhayam Gingelly Oil 1 ltr,Rs.246.00
10-03-2015,Idly Rice 5Kgs,Rs.200.00
10-03-2015,Khus Khus - Kasa kasaa 50g,Rs.49.00
10-03-2015,KPL Shudhi Cooking Coconut Oil 1Ltr.,Rs.235.00
10-03-2015,Sakthi Turmeric Powder 200g,Rs.50.00
10-03-2015,Sundrop Lite Oil 1ltr.,Rs.99.00
10-03-2015,Sundrop Sunflower Oil 1Ltr,Rs.175.00
10-03-2015,Udhaiyam Gram Dal 1Kg,Rs.70.00
10-03-2015,Udhaiyam Moong Dal - Paasi Paruppu 1Kg,Rs.140.00
10-03-2015,Udhaiyam Orid Dal - Ulundham Paruppu 1Kg,Rs.108.00
10-03-2015,Udhaiyam Toor Dhal - Thuvaram Paruppu 1Kg,Rs.110.00
10-03-2015,Aashirvaad Turmeric Powder 100g,Rs.24.00
10-03-2015,Saffola Oil - Active 1 Ltr,Rs.130.00
10-03-2015,Saffola Oil - Gold Jar 5 Ltrs,Rs.750.00
10-03-2015,Saffola Oil - Jar 2 Ltrs,Rs.300.00
10-03-2015,Saffola Oil - Tasty 1Ltr,Rs.117.00
10-03-2015,Sree Gold Gram Dhal 1Kg,Rs.73.00
10-03-2015,Sree Gold Moong Dal 1Kg,Rs.132.00
10-03-2015,Sree Gold Orid Dal 1Kg,Rs.113.00
10-03-2015,Aachi DiaRice  1kg,Rs.108.00
10-03-2015,Aachi Idiyappam Powder 500g,Rs.45.00
10-03-2015,Everest Powder - Turmeric 100g,Rs.22.00
10-03-2015,Aachi Bajji Bonda Mix 200g,Rs.24.50
10-03-2015,Cardia Refined Olive Oil 1ltr,Rs.470.00
10-03-2015,Del Monte Olive Oil - Blended 500ml,Rs.450.00
10-03-2015,Maan Mark Appalam 275g,Rs.86.00
10-03-2015,MTR - Turmeric Powder 100g,Rs.27.00
10-03-2015,Popular Appalam 200g,Rs.74.00
10-03-2015,Ruchi Magic Pickle Amla 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Citron 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Cut Mango 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Garlic 300g,Rs.75.00
10-03-2015,Ruchi Magic Pickle Ginger 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Green Chilli 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Lime 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Mango Avakai 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Mango Ginger 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Mango Thokku 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Mix. Vegetable 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Onion 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Red Chilli 300g,Rs.62.00
10-03-2015,Ruchi Magic Pickle Tomato 300g,Rs.62.00
10-03-2015,Aachi Chilli Powder 100g,Rs.27.25
10-03-2015,Orysa Refined Rice Bran Oil 1Ltr,Rs.115.00
10-03-2015,Parampara Biryani 80g,Rs.45.00
10-03-2015,Parampara Butter Chicken 80g,Rs.42.00
10-03-2015,Parampara Chhole Gravy 80g,Rs.42.00
10-03-2015,Parampara Chicken Gravy 80g,Rs.42.00
10-03-2015,Parampara Chicken Tikka Masala 80g,Rs.42.00
10-03-2015,Parampara Kolhapuri 80g,Rs.42.00
10-03-2015,Parampara Mutter Paneer 80g,Rs.45.00
10-03-2015,Parampara Vegetable Biryani 80g,Rs.42.00
10-03-2015,Sakthi Chilli Powder 200g,Rs.56.00
10-03-2015,Twin Bird Chicken Pickle - (Non-Veg) 300g,Rs.125.00
10-03-2015,Twin Birds Fish Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Fish Thokku Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Nethili Fish Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Prawn Curry Pickles - (Non-veg) 300g,Rs.125.00
10-03-2015,Twin Birds Prawn Pickles - (Non-veg) 300g,Rs.125.00
