date,product with quantity,price
10-03-2015,Nestle - Slim Skimmed Milk 1Ltr.,Rs.80.00
10-03-2015,Nestle - Yoghurt Real Mango 100g,Rs.30.00
10-03-2015,Nestle - Yoghurt Real Strawberry 100g,Rs.30.00
10-03-2015,Nestle a+ Nourish Dahi 400g,Rs.55.00
10-03-2015,Nestle Milkmaid Tin 400g,Rs.105.00
10-03-2015,Sofit Soya Milk - Chocolate 200ml x 4,Rs.100.00
10-03-2015,Sofit Soya Milk - Natural 200ml x 4,Rs.100.00
10-03-2015,Sofit Soya Milk - Vanilla 200ml x 4,Rs.100.00
10-03-2015,Vanilla Essence 20ml,Rs.23.00
10-03-2015,Britannia Maska Rusk  200g,Rs.30.00
10-03-2015,Britannia Rusk Bread Toast 200g,Rs.27.00
10-03-2015,Brown Egg 6 Nos. Pack,Rs.48.00
10-03-2015,Cavin's Curd - Cup 400g,Rs.55.00
10-03-2015,Cavin's Curd - Pouch 450g,Rs.25.00
10-03-2015,Cavin's Diet Paneer 200g,Rs.80.00
10-03-2015,Cavin's Soft Paneer 200g,Rs.70.00
10-03-2015,Amul Bread Spread - Lite 100g,Rs.27.00
10-03-2015,Amul Butter - Pasteurized 100g,Rs.37.00
10-03-2015,Amul Cheese - Slices 100g,Rs.65.00
10-03-2015,Amul Kool - Badam (Pet Bottle) 200ml x 6,Rs.120.00
10-03-2015,Amul Kool - Elaichi (Pet Bottle) 200ml x 6,Rs.120.00
10-03-2015,Amul Kool - Kesar (Pet Bottle) 200ml x 6,Rs.120.00
10-03-2015,Amul Kool - Rose (Pet Bottle) 200ml x 5,Rs.100.00
10-03-2015,Amul Kool Koko - Chocolate Milk (Tin) 180ml,Rs.30.00
10-03-2015,Amul Kool Milk Shaake - Badam (Tin) 180ml,Rs.30.00
10-03-2015,Amul Malai Paneer - Pouch 200g,Rs.62.00
10-03-2015,Amul Masti Buttermilk - Spice (Tetra Pack) 200ml x 6,Rs.72.00
10-03-2015,Amul Masti Buttermilk - Spice (Tetra Pack) 1Ltr,Rs.50.00
10-03-2015,Amul Pasteurised Cooking - Butter  500g,Rs.185.00
10-03-2015,Amul Pizza Cheese - Mozzarella 200g,Rs.86.00
10-03-2015,Amul Processed Cheese - Block (Carton) 200g,Rs.101.00
10-03-2015,Amul Processed Cheese - Chiplets (Cubes) 200g,Rs.101.00
10-03-2015,Amul Taaza - Toned Milk (Tetra Pack) 1Ltr,Rs.56.00
10-03-2015,Britannia Cake - Butter Blast 65g x 3,Rs.45.00
10-03-2015,Britannia Cake - Chocolate 65g x 3,Rs.45.00
10-03-2015,Britannia Cake - Fruit 65g x 3,Rs.45.00
10-03-2015,Britannia Cake - Milk 65g x 3,Rs.45.00
10-03-2015,Britannia Cake - Orange 65g x 3,Rs.45.00
10-03-2015,Britannia Cake - Pineapple 65g x 3,Rs.45.00
10-03-2015,Britannia Slimz Cheesy Slices - Low Fat 100g,Rs.80.00
10-03-2015,Cavins Butterscotch Milkshake 200ml x 4,Rs.100.00
10-03-2015,Cavins Chocolate Milkshake 200ml x 4,Rs.100.00
10-03-2015,Cavins Strawberry Milkshake 200ml x 4,Rs.100.00
10-03-2015,Cavins Vanilla Milkshake 200ml x 4,Rs.100.00
10-03-2015,Modern - Oats & Ragi - Whole Wheat Bread ,Rs.28.00
10-03-2015,Modern Sweet Bread 300g,Rs.23.00
10-03-2015,Modern Whole Wheat Bread 400g,Rs.26.00
10-03-2015,Nestle - A+ Toned Milk Tetra Pack Everyday 1Ltr,Rs.75.00
10-03-2015,Nestle - Slim Dahi Low Fat 400gm,Rs.65.00
