date,brand,product,quantity,price
10-03-2015,Bagrrys,Fruit N Fibre Muesli Apple,400gm,189.00
10-03-2015,Bagrrys,White Oats,500gm,77.00
10-03-2015,Kelloggs,Chocos Breakfast,375gm,142.00
10-03-2015,Kelloggs,Chocos Breakfast,250gm,101.00
10-03-2015,Kelloggs,Chocos Breakfast,125gm,53.00
10-03-2015,Kelloggs,Special K 98%Fat Free,290gm,110.00
10-03-2015,Kelloggs,Special K,900gm,345.00
10-03-2015,Kelloggs,Special K 98%Fat Free,435gm,170.00
10-03-2015,Kelloggs,Corn Flakes Honey 8 Essential,125gm,46.00
10-03-2015,Kelloggs,Corn Flakes Honey 8 Essential,630gm,245.00
10-03-2015,Kelloggs,Corn Flakes Honey 8 Essential,300gm,124.00
10-03-2015,Kelloggs,Corn - Flakes  Pouch,875gm,265.00
10-03-2015,Kelloggs,Corn Flakes Original 8Essent Vitins,400gm,154.00
10-03-2015,Kelloggs,Corn Flakes Original 8Essentl Vitmi,250gm,91.00
10-03-2015,Kelloggs,Chocos Duet Vanilla,375gm,157.00
10-03-2015,Quaker,Oats,1kg,165.00
10-03-2015,Kelloggs,Corn Flakes Almond&amp;Honey,650gm,299.00
10-03-2015,Kelloggs,Corn Flakes Almond&amp;Honey 8 Ess,300gm,153.00
10-03-2015,Quaker,Oats,600gm,85.00
10-03-2015,Kelloggs,Extra Muesli - Nuts Delight  Carton,550gm,255.00
10-03-2015,Kelloggs,Extra Muesli Nuts Delight,275gm,132.00
10-03-2015,Kelloggs,Chocos Super Saver Pack,1.2kg,399.00
10-03-2015,Kelloggs,Chocos Crunchy Bites - Smacks Chocolaty Blocks Carton,390gm,152.00
10-03-2015,Kelloggs,Corn Flakes Banana,300gm,126.00
10-03-2015,Soulfull,Choco Fills,250gm,190.00
10-03-2015,Quaker,Oats,1kg,204.00
10-03-2015,Quaker,Oats Plus Multigrain Advan,600gm,144.00
10-03-2015,Kelloggs,Chocos Breakfast,700gm,259.00
10-03-2015,Bagrrys,Crunchy Muesli Almonds Raisins&amp;Honey,400gm,199.00
