date,brand,product,quantity,price
10-03-2015,Modern,7 Must Premium Multi Cereal Bread,400gm,28.00
10-03-2015,Modern,Oven Fresh Soft Sanwich Bread,800gm,40.00
10-03-2015,Modern,Sweet Bread,300gm,23.00
10-03-2015,Modern,Whole Wheat Bread,400gm,26.00
10-03-2015,Modern,Sandwich Bread,400gm,23.00
10-03-2015,Modern,Sweet Bun,200gm,13.00
10-03-2015,Modern,Pav Soft Pav Breads,200gm,14.00
10-03-2015,Modern,Premium Bread Atta Shakti,400gm,26.00
10-03-2015,Britannia,Multi Grain,400gm,35.00
10-03-2015,Modern,Milk Bread,350gm,24.00
10-03-2015,Britannia,Daily Fresh Sweet Sandwich,300gm,23.00
10-03-2015,Britannia,Daily Fresh Premium Sandwich,800gm,40.00
10-03-2015,Modern,Pav Soft Pav Breads,600gm,38.00
10-03-2015,Modern,Oats &amp; Ragi Whole Wheat Bread,400gm,28.00
10-03-2015,Modern,Milk Classic Premium Sweet Bread,200gm,14.00
10-03-2015,Modern,Fruit Bread Fruity,200gm,15.00
10-03-2015,Britannia,Daily Fresh Premium Sandwich,400gm,23.00
10-03-2015,Britannia,Daily Fresh Whole Wheat,400gm,26.00
10-03-2015,Britannia,100 % Whole Wheat,400gm,30.00
10-03-2015,Modern,Pizza Bread,150gm,14.00
