date,brand,product,quantity,price
10-03-2015,KPN Fresh,Apple -  Red,1kg,170.00
10-03-2015,KPN Fresh,Apple -  Red,500gm,85.00
10-03-2015,KPN Fresh,Apple - Fuji,1kg,190.00
10-03-2015,KPN Fresh,Apple - Fuji,500gm,100.00
10-03-2015,KPN Fresh,Apple - Royal Gala,1kg,180.00
10-03-2015,KPN Fresh,Apple - Royal Gala,500gm,110.00
10-03-2015,KPN Fresh,Apple - Shimla,1kg,180.00
10-03-2015,KPN Fresh,Apple - Shimla,500gm,90.00
10-03-2015,KPN Fresh,Green Anjou Pears,500gm,85.00
10-03-2015,KPN Fresh,Shandong Pears,500gm,80.00
