date,brand,product,quantity,price
10-03-2015,KPN MALIGAI,Toor Dal,1kg,99.00
10-03-2015,KPN MALIGAI,Moong Dal,500gm,67.50
10-03-2015,KPN MALIGAI,Moong Dal,1kg,135.00
10-03-2015,KPN MALIGAI,Fried Gram,500gm,40.50
10-03-2015,KPN MALIGAI,Channa Dal,500gm,32.40
10-03-2015,KPN MALIGAI,Channa Dal,1kg,64.80
10-03-2015,KPN MALIGAI,Urad Dhal Whole,500gm,52.20
10-03-2015,KPN MALIGAI,Urad Dhal Whole,1kg,109.00
10-03-2015,KPN MALIGAI,Kabuli Channa,200gm,22.50
10-03-2015,KPN MALIGAI,Kabuli Channa,500gm,54.00
10-03-2015,KPN MALIGAI,Kabuli Channa,1kg,108.00
10-03-2015,KPN MALIGAI,Raw Peanuts,500gm,68.40
10-03-2015,KPN MALIGAI,Toor Dal,500gm,50.40
10-03-2015,KPN MALIGAI,Moong - Green (Whole),500gm,72.00
10-03-2015,KPN MALIGAI,Moong - Green (Whole),1kg,144.00
10-03-2015,KPN MALIGAI,Channa - Brown,500gm,39.60
10-03-2015,KPN MALIGAI,Rajma - Kashmiri,200gm,22.50
10-03-2015,KPN MALIGAI,Rajma - Kashmiri,500gm,52.20
10-03-2015,KPN MALIGAI,Karamani - White,500gm,45.90
10-03-2015,KPN MALIGAI,Horse Gram,500gm,29.70
10-03-2015,KPN MALIGAI,Double Beans   White,200gm,37.80
10-03-2015,KPN MALIGAI,Urad Dal,500gm,62.10
10-03-2015,KPN MALIGAI,Urad Dal,1kg,122.40
10-03-2015,KPN MALIGAI,Urad - Black (Whole),500gm,45.90
10-03-2015,KPN MALIGAI,Green Peas,200gm,16.20
10-03-2015,KPN MALIGAI,Green Peas,500gm,39.60
10-03-2015,KPN MALIGAI,Popcorn - Seeds,200gm,16.20
10-03-2015,KPN MALIGAI,Masoor Dal - Red,500gm,55.80
10-03-2015,KPN MALIGAI,Masoor Dal - Red,1kg,109.80
10-03-2015,KPN MALIGAI,Rajma Red,200gm,24.30
10-03-2015,KPN MALIGAI,Rajma Red,500gm,58.50
