date,brand,product,quantity,price
10-03-2015,24 MANTRA ORGANIC,Puffed Rice,200gm,35.00
10-03-2015,24 MANTRA ORGANIC,Poha,500gm,50.00
10-03-2015,24 MANTRA ORGANIC,Sonamasuri White Rice,1kg,80.00
10-03-2015,Terra Greens Organic,Poha,500gm,46.55
10-03-2015,24 MANTRA ORGANIC,Red Poha,500gm,60.00
10-03-2015,24 MANTRA ORGANIC,Sonamasuri White  Rice,2kg,148.00
10-03-2015,24 MANTRA ORGANIC,Basmati Brown Rice,1kg,190.00
10-03-2015,Safe Harvest,Sona Masuri Raw Rice,5kg,310.00
10-03-2015,24 MANTRA ORGANIC,Sonamasuri Brown Rice,2kg,148.00
10-03-2015,Terra Greens Organic,Sona Masuri Hand Pounded,5kg,403.75
10-03-2015,Terra Greens Organic,Sona Mausri Hand Pounded,1kg,80.75
10-03-2015,24 MANTRA ORGANIC,Sonamasuri Brown Rice,5kg,425.00
10-03-2015,24 MANTRA ORGANIC,Sonamasuri Handpound Rice,5kg,425.00
10-03-2015,24 MANTRA ORGANIC,Sonamasuri White  Rice,5kg,425.00
10-03-2015,Terra Greens Organic,Sona Masuri White,5kg,403.75
10-03-2015,Terra Greens Organic,Sona Masuri White,1kg,80.75
10-03-2015,Terra Greens Organic,Basmati Brown,1kg,182.40
10-03-2015,Terra Greens Organic,Basmati White,1kg,182.40
10-03-2015,24 MANTRA ORGANIC,Ragi Flakes,300gm,135.00
10-03-2015,24 MANTRA ORGANIC,White Basmati Rice,1kg,190.00
10-03-2015,24 MANTRA ORGANIC,Sona Masuri Brown Rice,1kg,85.00
10-03-2015,24 MANTRA ORGANIC,Sona Masuri Handpounded Rice,1kg,85.00
