date,brand,product,quantity,price
10-03-2015,KPN Fresh,Beans Thin (Karamani),250gm,9.00
10-03-2015,KPN Fresh,Beans Thin Karamani,500gm,18.00
10-03-2015,KPN Fresh,Bush Beans (Green),500gm,18.00
10-03-2015,KPN Fresh,Bush Beans (Green),250gm,9.00
10-03-2015,KPN Fresh,Cluster Beans(Kothavarangai),250gm,13.00
10-03-2015,KPN Fresh,Cluster Beans(Kothavarangai),500gm,25.00
10-03-2015,KPN Fresh,Avarakki,250gm,10.00
10-03-2015,KPN Fresh,Avarakki,500gm,23.00
10-03-2015,KPN Fresh,Double Beans,500gm,28.00
10-03-2015,KPN Fresh,Double Beans,250gm,14.00
