date,product with quantity,price
11-03-2015,Lactogen Follow Up Formula Stage 1 Infant (400g),269.00
11-03-2015,Lactogen Follow Up Formula Stage 2 Infant (400g),284.00
11-03-2015,Lactogen Follow Up Formula Stage 3 Infant (400g),305.00
11-03-2015,Mamas Best Vanilla Delight (400g),375.00
11-03-2015,Nan Pro Stage 1 Infant Formula with Probiotics (400g),465.00
11-03-2015,Nan Pro Stage 1 Infant Formula with Probiotics Tin (400g),503.00
11-03-2015,Nan Pro Stage 2 Follow Up Formula Tin (400g),503.00
11-03-2015,Nan Pro Stage 2 Follow Up Formula (400g),449.00
11-03-2015,Nan Pro Stage 3 Follow Up Formula (400g),449.00
11-03-2015,Nestle Nestum Stage 2 Rice Dal Vegetable  (300g),109.80
11-03-2015,Nestle Nestum Stage 3 Rice 3 Fruit (300g),121.50
11-03-2015,Nestle Cerelac Stage 1 Rice (300g),147.00
11-03-2015,Nestle Cerelac Stage 2 Rice Vegetable (300g),183.00
11-03-2015,Nestle Cerelac Stage 2 Wheat Honey (300g),174.00
11-03-2015,Nestle Nestum Stage 1 Baby Cereal Rice (300g),97.00
11-03-2015,Nestle Cerelac Stage 1 Wheat (300g),138.00
11-03-2015,Nestle Cerelac Stage 1 Wheat Apple (300g),151.00
11-03-2015,Nestle Cerelac Stage 2 Wheat Apple Cherry (300g),172.00
11-03-2015,Nestle Cerelac Stage 2 Wheat Orange (300g),184.00
11-03-2015,Nestle Cerelac Stage 3 Wheat Rice Mixed Fruit (300g),188.00
11-03-2015,Nestle Cerelac Stage 3 Wheat-Rice Mango With Dates (300g),178.00
11-03-2015,Nestle Cerelac Stage 3 Wheat-Rice Mixed Veg (300g),169.00
11-03-2015,Nestle Cerelac Stage 4 Multi Grain 5 Fruits (300g),199.00
11-03-2015,Nestle Cerelac Stage 4 Multi Grain Dal Veg (300g),195.00
11-03-2015,Pediasure Vanilla Refill (750g),921.00
11-03-2015,PediaSure Chocolate Jar (400g),520.00
11-03-2015,Pediasure Chocolate Refill (200g),280.00
11-03-2015,Pediasure Vanilla Refill (200g),270.00
11-03-2015,Similac Advance Infant Formula Stage1 (400g),439.00
