date,product with quantity,price
11-03-2015,Ponni Raw Rice Premium (1Kg),55.00
11-03-2015,Ponni Raw Rice Premium Quality (10Kg),550.00
11-03-2015,Ponni Raw Rice Premium Quality (25Kg),1375.00
11-03-2015,Pro Nature Organic Sona Masoori Rice (White) (1Kg),86.00
11-03-2015,SVS Raw Rice Broken (500g),47.00
11-03-2015,Tapovana Organic Raw Rice (1Kg),65.00
11-03-2015,Anil Ragi Flour (500g),23.50
11-03-2015,Ragi (500g),19.00
11-03-2015,Ragi (250g),10.00
11-03-2015,Manna Ragi Flour (1Kg),67.00
11-03-2015,Manna Sprouted Ragi Flour (1Kg),87.00
11-03-2015,Pro Nature Organic Ragi Flour (500g),36.00
11-03-2015,Sakthi Ragi Flour (500g),24.00
11-03-2015,SVS Ragi Flour (500g),47.00
11-03-2015,Tur Dal (1Kg),110.00
11-03-2015,Tur Dal (500g),50.00
11-03-2015,Pro Nature Organic Tur Dal (1Kg),152.00
11-03-2015,Pro Nature Organic Tur Dal (500g),77.00
11-03-2015,Sree Gold Tur Dal (1Kg),107.00
11-03-2015,Sree Gold Tur Dal (500g),50.00
11-03-2015,Tata I - Shakti Tur Dal (1Kg),105.00
11-03-2015,Tata I - Shakti Tur Dal (500g),53.00
11-03-2015,Udhaiyam Tur Dal (1Kg),114.00
11-03-2015,Udhaiyam Tur Dal (500g),54.00
11-03-2015,Mustard (100g),10.00
11-03-2015,Mustard (200g),20.00
11-03-2015,Pro Nature Organic Mustard Seeds (200g),41.00
11-03-2015,Aachi Cumin/ Jeera Powder (50g),23.00
11-03-2015,Eastern Cumin Powder (100g),36.00
11-03-2015,Cumin/ Jeera (100g),28.00
11-03-2015,Cumin/ Jeera (250g),62.00
11-03-2015,MTR Jeera Cumin Powder (50g),24.00
11-03-2015,Pro Nature Organic Cumin/ Jeera Whole (100g),50.00
11-03-2015,Sakthi Cumin/ Jeera Powder (50g),22.00
11-03-2015,Everest Kashmirilal Chilli Powder (100g),46.00
11-03-2015,Aachi Chilli Powder (100g),27.00
11-03-2015,Aachi Chilli Powder (500g),132.00
11-03-2015,Aachi Chilli Powder (50g),14.00
11-03-2015,Chilli Long (1Kg),126.00
11-03-2015,Chilli Long (250g),31.50
11-03-2015,Chilli Long (500g),63.00
11-03-2015,Chilli Round (1Kg),180.00
11-03-2015,Chilli Round (500g),90.00
11-03-2015,Chilli Round (250g),45.00
11-03-2015,MTR Chilli Powder (100g),26.00
11-03-2015,Pro Nature Organic Red Chilli Powder (100g),41.00
11-03-2015,Sakthi Chilli Powder (100g),26.00
11-03-2015,Sakthi Chilli Powder (200g),50.00
11-03-2015,Sakthi Chilli Powder (500g),139.00
11-03-2015,Sakthi Chilli Powder (50g),14.00
11-03-2015,Tapovana Organic Chilli Long (200g),38.00
11-03-2015,Tapovana Organic Round Chilli (200g),69.00
11-03-2015,Aachi Agmark Gingelly Oil (1Ltr),230.00
11-03-2015,Aachi Agmark Gingelly Oil (500ml),120.00
11-03-2015,Anjali Gingelly Oil (1Ltr),251.00
11-03-2015,Anjali Gingelly Oil (500ml),150.50
11-03-2015,Idhayam Gingelly Oil (200ml),53.00
11-03-2015,Idhayam Gingelly Oil (500ml),127.00
11-03-2015,Idhayam Gingelly Oil (1Ltr),248.00
11-03-2015,Sangamam Gingelly Oil (500ml),128.00
11-03-2015,Tapovana Organic Cold Pressed Gingely Oil (500ml),172.00
11-03-2015,Jaggery (1Kg),66.00
11-03-2015,Pagu Vellam (1Kg),66.00
11-03-2015,Pagu Vellam (500g),33.00
11-03-2015,Pro Nature Organic Jaggery (400g),48.00
11-03-2015,Pro Nature Organic Jaggery Powder (400g),58.00
11-03-2015,Diamond Sugar (250g),29.00
11-03-2015,Diamond Sugar (100g),12.00
11-03-2015,Sugar (1Kg),39.00
11-03-2015,Parrys Sugar (1Kg),57.00
11-03-2015,Pro Nature Organic Sugar (500g),57.00
11-03-2015,Udhaiyam Sugar (1Kg),44.00
11-03-2015,Soya Chunks/ Meal Maker (250g),24.00
11-03-2015,Soya Chunks/ Meal Maker (100g),10.00
11-03-2015,Aashirvaad Iodised Salt (1Kg),16.00
11-03-2015,Catch Sprinklers Black Salt (200g),30.00
11-03-2015,Catch Sprinklers Table salt (100g),15.00
11-03-2015,Catch Sprinklers Table Salt (200g),25.00
11-03-2015,I-Flo Premium Iodised Herbal Salt (500g),21.00
11-03-2015,I-FLO Premium Iodised Salt Healthy Family (750g),25.00
11-03-2015,Tata Salt (1Kg),15.00
11-03-2015,Tata I - Shakti Iodised Crystal Salt (1Kg),12.00
11-03-2015,Tata Salt Lite (1Kg),25.00
11-03-2015,Udhaiyam Crystal Salt (1Kg),11.00
11-03-2015,Udhaiyam Iodised Salt (1Kg),13.00
11-03-2015,Aachi Pasta Payasam Mix (200g),73.00
11-03-2015,Aachi Semiya Payasam Mix Vermicelli Mix (100g),24.00
11-03-2015,Aachi Semiya Payasam Mix Vermicelli Mix (200g),49.00
11-03-2015,Aashirvaad Gulab Jamun Instant Mix (200g),72.00
11-03-2015,MTR Gulab Jamun Mix (200g),73.00
11-03-2015,MTR Vermicelli Payasam (100g),26.00
11-03-2015,MTR Vermicelli Payasam (180g),49.00
11-03-2015,MTR Ragi Dosa Mix (500g),73.00
11-03-2015,MTR Rava Dosa (500g),70.00
11-03-2015,MTR Rava Idli (500g),72.00
11-03-2015,MTR Rava Idli (200g),41.00
11-03-2015,SVS Corn Adai Mix (300g),44.00
11-03-2015,SVS Instant Andhra Pesaratu Mix (300g),42.00
11-03-2015,SVS Instant Kancheepuram Idly Dosa Mix (300g),44.00
11-03-2015,SVS Instant Kuzhi Panniyaram & Dosa Mix(300g),42.00
11-03-2015,SVS Instant Ragi Dosa Mix (300g),42.00
11-03-2015,SVS Instant Rava Dosa Mix (300g),42.00
11-03-2015,SVS Instant Rice Uppuma Mix (300g),49.00
11-03-2015,SVS Saamai Adai Mix (300g),49.00
11-03-2015,SVS Samba Wheat Adai Mix (500g),49.00
11-03-2015,SVS Samba Wheat Dosa Mix (300g),44.00
11-03-2015,SVS Samba Wheat Idiyappam Mix (300g),44.00
11-03-2015,SVS Thinai Adai Mix (300g),49.00
11-03-2015,Orysa Refined Rice Bran Oil (1Ltr),113.00
11-03-2015,Porna Rice Bran Oil (1Ltr),98.00
11-03-2015,Saffola Tasty Pouch (1Ltr),114.00
11-03-2015,Saffola Gold Losorb Technology pouch(1Ltr),148.00
11-03-2015,Sundrop Heart  (1Ltr),179.00
11-03-2015,Aachi Ghee (200ml),101.00
11-03-2015,Aachi Ghee (100ml),58.00
11-03-2015,GRB Udhayam Ghee (100ml),53.00
11-03-2015,GRB Udhayam Ghee (1Ltr ),465.00
11-03-2015,GRB Udhayam Ghee (200ml),101.00
11-03-2015,GRB Udhayam Ghee (500ml),239.00
11-03-2015,Borges Olive Oil (175ml),245.00
11-03-2015,Borges Olive Oil Extra Light (500ml),490.00
11-03-2015,Borges Olive Oil (500ml),490.00
11-03-2015,Cardia Extra Virgin Olive Oil (1Ltr),495.00
11-03-2015,Cardia Extra Virgin Olive Oil (500ml),248.00
11-03-2015,Cardia Refind Olive Oil (500ml),347.00
11-03-2015,Cardia Life Pouch (1Ltr),157.00
11-03-2015,Disano Extra Virgin Olive Oil (1Ltr) Buy 1 Get 1 Free,809.00
11-03-2015,Disano Extra Virgin Olive Oil (500ml)  Buy 1 Get 1 Free,455.00
11-03-2015,Disano Olive Oil Aceite oliva  (500ml)  Buy 1 Get 1 Free,416.00
11-03-2015,Disano Olive Oil Aceite oliva (1Ltr),749.00
11-03-2015,Disano Olive Oil Aceite oliva (250ml),191.00
11-03-2015,Disano Olive Pomace Oil (500ml),290.00
11-03-2015,Disano Olive Pomance Oil (1Ltr),539.00
11-03-2015,Gaia Extra Light Olive Oil (1Ltr),590.00
11-03-2015,Gaia Extra Light Olive Oil (500ml),300.00
11-03-2015,Gaia Extra Virgin Olive Oil (250ml),250.00
11-03-2015,Oleev Active Oil (1Ltr),161.00
11-03-2015,Aachi Garam Masala (50g),33.00
11-03-2015,Catch Garam Masala (100g),72.00
11-03-2015,Sakthi Garam Masala (50g),32.00
11-03-2015,Fortune Refined Sunflower Oil (1Ltr),100.00
11-03-2015,Gold Winner Pouch (5Ltr),440.00
11-03-2015,Gold Winner Jar (5Ltr),562.00
11-03-2015,Gold Winner Pouch (1Ltr),89.00
11-03-2015,Gold Winner Pouch (500ml),45.00
11-03-2015,Mr. Gold Sunflower Oil (1Ltr),96.00
11-03-2015,R Gold Refined Corn Oil (1Ltr),114.00
11-03-2015,Sundrop Gold Lite (1Ltr),122.00
11-03-2015,Sundrop Superlite Advanced (1Ltr),173.00
11-03-2015,Sunland Refined Sunflower Oil (1Ltr),92.00
11-03-2015,Sunland Refined Sunflower Oil Can (5Ltr),454.00
11-03-2015,Sunrich Refined Sun Flower Oil (1Ltr),89.00
11-03-2015,Dabur Hommade Coconut Milk (200ml),53.00
11-03-2015,Dabur Hommade Ginger Garlic Paste (200g),39.00
11-03-2015,Dabur Hommade Ginger Paste (200g),36.00
11-03-2015,Dabur Hommade Tamarind Paste (200g),31.00
11-03-2015,Dabur Hommade Tomato Puree (200g),24.00
11-03-2015,Dabur Hommade Ginger Garlic Paste (100g),20.00
11-03-2015,Mothers Recipe Pav Bhaji Mix (100g),39.00
11-03-2015,MTR Pav Bajji (300g),63.00
11-03-2015,Aachi Pani Puri Masala (50g),24.00
11-03-2015,Catch Spinklers Chat Masala (50g),27.00
11-03-2015,Sakthi Chaat Masala (50g),20.00
11-03-2015,Aachi Biriyani Masala (50g),35.00
11-03-2015,Aachi Fish Fry Masala (50g),21.00
11-03-2015,Aachi Fish Curry Masala (50g),18.00
