date,product with quantity,price
11-03-2015,Aachi Lemon Rice Powder (50g),15.00
11-03-2015,Aachi Tamarind Rice Powder (50g),15.00
11-03-2015,Aachi Tomato Rice  Powder (50g),15.00
11-03-2015,Mothers Recipe Vegetable Biryani Mix (75g),44.00
11-03-2015,MTR Puliyogare Powder (100g),35.00
11-03-2015,MTR Rice Sevai (180g),24.00
11-03-2015,Sakthi Dhall Rice Powder (100g),29.00
11-03-2015,Sakthi Bajji Bonda Powder (200g),24.00
11-03-2015,Sakthi Tamarind Rice Powder (100g),31.00
11-03-2015,Sakthi Tamarind Rice Powder (50g),16.00
11-03-2015,SVS Puliyotharai Podi (50g),19.00
11-03-2015,Haldirams Bhujia Sev (50g),9.50
11-03-2015,Haldirams All in One Mixture (150g),35.00
11-03-2015,Haldirams Aloo Bhujia (150g),33.00
11-03-2015,Haldirams Aloo Bhujia (50g),9.50
11-03-2015,Haldirams Bhujia Sev (150g),33.00
11-03-2015,Haldirams Chatpata Dal (150g),29.00
11-03-2015,Haldirams Corn Flakes Mixture (150g),35.00
11-03-2015,Haldirams Corn Flakes Mixture (40g),9.50
11-03-2015,Haldirams Dry Fruit Mix (150g),54.50
11-03-2015,Haldirams Fun Bites Tri-D-Pillows (20g),4.50
11-03-2015,Haldirams Khatta Mitta (150g),29.00
11-03-2015,Haldirams Mathiri (200g),47.00
11-03-2015,Haldirams Mini Samosa (200g),47.00
11-03-2015,Haldirams Mixture (150g),29.00
11-03-2015,Haldirams Moong Dal (150g),35.00
11-03-2015,Haldirams Navaratan Mixture (150g),35.00
11-03-2015,Haldirams Punjabi Tadka (150g),29.00
11-03-2015,Haldirams Salted Peanuts (150g),29.00
11-03-2015,Haldirams South Mixture (150g),29.00
11-03-2015,Haldirams Tasty Nuts (150g),29.00
11-03-2015,Haldirams Yellow Banana Chips (17g),4.50
11-03-2015,Haldirams Yummy Bites Tri-D (20g),4.50
11-03-2015,Haldirams Khatta Mitta (60g),10.00
11-03-2015,Haldirams Moong Dal (40g),10.00
11-03-2015,Haldirams Tasty Nuts (50g),10.00
11-03-2015,Cadbury Choclairs Pack (480g),109.00
11-03-2015,Cadbury Choco Powder (150g),176.00
11-03-2015,Cadbury Dairy Milk (34g),24.00
11-03-2015,Cadbury Dairy Milk Crackle (42g),39.00
11-03-2015,Cadbury Dairy Milk Fruits & Nuts (42g),39.00
11-03-2015,Cadbury Dairy Milk Fruits & Nuts (80g),73.00
11-03-2015,Cadbury Dairy Milk Roast Almond (42g),44.00
11-03-2015,Cadbury Dairy Milk Silk (65g),58.00
11-03-2015,Cadbury Dairy Milk Silk Fruits & Nuts Silk (60g),58.00
11-03-2015,Cadbury Hot Chocolate (200g),137.00
11-03-2015,Cadbury 5 Star (24g),10.00
11-03-2015,Cadbury 5 Star Chomp (30g),15.00
11-03-2015,Cadbury Dairy Milk (16g),10.00
11-03-2015,Kinder JOY - Boys,34.00
11-03-2015,Kinder JOY - Girls,34.65
11-03-2015,Satva Choco Delite Crispies (25g),33.00
11-03-2015,Toblerone Of Switzerland Chocolate (200g),245.00
11-03-2015,Bingo Aachari Masti (18g),4.00
11-03-2015,Bingo Aachari Masti (45g),9.00
11-03-2015,Bingo Yumitos Masala Remix (12g),4.50
11-03-2015,Bingo Yumitos Masala Remix (55g),19.50
11-03-2015,Bingo Yumitos Premium Salted (55g),19.50
11-03-2015,Bingo Tangles Tomato Tangle (40g),10.00
11-03-2015,Pringles Potato Crisps/ Chips Original (110g),117.00
11-03-2015,Pringles Potato Crisps/ Chips Sour Cream & Onion (110g),117.00
11-03-2015,Kurkure Green Chutney Rajasthani Style (100g),19.00
11-03-2015,Kurkure Masala Munch (115g),19.00
11-03-2015,Kurkure Naughty Tomato (100g),19.00
11-03-2015,Kurkure Green Chutney Rajasthani Style (50g),10.00
11-03-2015,Kurkure Hyderabadi Hungama (47g),10.00
