date,product with quantity,price
11-03-2015,A One Washing Powder (500g),39.00
11-03-2015,Ariel Complete Matic (1Kg),191.00
11-03-2015,Ariel Complete Plus 24 Hour Fresh (1Kg),201.00
11-03-2015,Ariel Complete Plus 24 Hour Fresh (500g),102.00
11-03-2015,Ariel Complete Plus Colour & Style (1Kg),181.00
11-03-2015,Ariel Complete Plus Colour & Style (500g),92.00
11-03-2015,Ariel Complete Plus Morning Breeze (1Kg),181.00
11-03-2015,Ariel Complete Plus Morning Breeze (500g),115.00
11-03-2015,Henko Matic Lintelligent Top Load (500g),95.00
11-03-2015,Henko Matic Lintelligent Front Load (1Kg),220.00
11-03-2015,Henko Matic Lintelligent Top Load (1Kg),200.00
11-03-2015,Henko Matic Stain Champion (1Kg),196.00
11-03-2015,Henko Matic Stain Champion (500g),102.00
11-03-2015,Henko Stain Champion (1Kg),132.00
11-03-2015,Henko Stain Champion (500g),63.00
11-03-2015,Mr.White Active Powder (1Kg),80.00
11-03-2015,Mr.White Active Powder (500g),41.00
11-03-2015,Mr.White Active Powder (15g),1.00
11-03-2015,Mysore Detergent Powder (lkg),73.00
11-03-2015,Rin Matic Powder (1Kg),112.00
11-03-2015,Rin Matic Powder (500g),53.00
11-03-2015,Rin Powder (500g),43.00
11-03-2015,Rin Refresh Lemon & Rose (1Kg),84.00
11-03-2015,Rin Refresh Lemon & Rose (500g),43.00
11-03-2015,Rin Powder (125g),10.00
11-03-2015,Surf Excel Easy Wash (1.5Kg),202.00
11-03-2015,Surf Excel Easy Wash (200g),24.00
11-03-2015,Surf Excel Easy Wash (500g),66.00
11-03-2015,Surf Excel Easy Wash (700g),94.00
11-03-2015,Surf Excel Matic Front Load (500g),114.00
11-03-2015,Surf Excel Matic Top Load (1Kg) ,205.00
11-03-2015,Surf Excel Matic Top Load (500g),104.00
11-03-2015,Surf Excel Quick Wash (1Kg),181.00
11-03-2015,Surf Excel Quick Wash (200g),37.00
11-03-2015,Surf Excel Quick Wash (500g),92.00
11-03-2015,Surf Excel Matic Front Load (1Kg) ,200.00
11-03-2015,Surf Excel Quick Wash (65g),10.00
11-03-2015,Tide Naturals Lemon & Chandan (1Kg),61.00
11-03-2015,Tide Naturals Lemon & Chandan (500g),30.00
11-03-2015,Tide Plus (1Kg),91.00
11-03-2015,Tide Plus (500g),47.00
11-03-2015,Tide Plus Jasmine & Rose (500g),47.00
11-03-2015,Tide Talcum Freshness (1Kg),94.00
11-03-2015,Tide Talcum Freshness (500g),47.00
11-03-2015,Tide Plus Jasmine & Rose (1Kg) ,91.00
11-03-2015,Tide Plus Jasmine Rose (110g),10.00
11-03-2015,Tide Talcum Freshness (110g),10.00
11-03-2015,Ujala Washing Powder (500g),42.00
11-03-2015,Vanish Sakthi (240g),76.00
11-03-2015,Vanish Shakthi O2 (450g),147.00
11-03-2015,Wheel Active Lemon & Jasmine (500g),23.00
11-03-2015,Wheel Active Lemon & Jasmine (1Kg),48.00
11-03-2015,Wheel Active Lemon & Jasmine (200g),10.00
11-03-2015,Henko Stain Champion Bar Soap (400g),39.00
11-03-2015,Super Mdc Mysore Detergent Cake (150g),7.00
11-03-2015,Rin Advanced Bar Soap (150g),10.00
11-03-2015,Rin Advanced Bar Soap (85g),5.00
11-03-2015,Surf Excel Bar Soap (250g),26.00
11-03-2015,Surf Excel Bar Soap (400g),45.00
11-03-2015,Surf Excel Bar Soap (150g),15.00
11-03-2015,Surf Excel Bar Soap (95g),10.00
11-03-2015,Tide Bar Soap (155g),9.00
11-03-2015,Tide Big Bar Soap (250g),18.00
11-03-2015,Genteel Liquid Detergent (1kg),310.00
11-03-2015,Fab*360 Washing Liquid (250ml),117.00
11-03-2015,Ezee Liquid Detergent (200g),39.00
11-03-2015,Surf Excel Liquid (1050ml),218.50
11-03-2015,Surf Excel Liquid (200ml),58.00
11-03-2015,Surf Excel Liquid (500ml),117.00
11-03-2015,Tide Liquid Detergent Clean Breeze Brise Pure (1.47Ltr),585.00
11-03-2015,Tide Liquid Detergent Mountain Spring (1.47Ltr),585.00
11-03-2015,Vanish Liquid (180ml),34.00
11-03-2015,Vanish Liquid (500ml),68.00
11-03-2015,Vanish Liquid (900ml),107.00
11-03-2015,Wipro Safe Wash Liquid Detergent (1.05 Kg),324.00
11-03-2015,Wipro Safe Wash Liquid Detergent (500g),152.00
11-03-2015,Bambi Cuff & Collar Cleaner (200ml),53.00
11-03-2015,Revive Instant Starch (200g),49.00
11-03-2015,Revive Liquid Stiffener (200g),53.00
11-03-2015,Revive Liquid Stiffener (95g),25.00
11-03-2015,Robin Cuffs n Collars 200ml,52.00
11-03-2015,Ujala Stiff & Shine Floral Fusion (200g),40.00
11-03-2015,Ujala Stiff & Shine Jasmine Fresh (200g),44.00
11-03-2015,Ujala Stiff & Shine Spring Lily (200g),44.00
11-03-2015,Comfort 1 Rinse Fabric Conditioner Blue (200ml),45.00
11-03-2015,Comfort Fabric Conditioner Blue (200ml),45.00
11-03-2015,Comfort Fabric Conditioner Blue (800ml),166.00
11-03-2015,Comfort Fabric Conditioner Blue Refill Pack (200ml),38.00
11-03-2015,Comfort Fabric Conditioner Green (200ml),45.00
11-03-2015,Comfort Fabric Conditioner Green (800ml),166.00
11-03-2015,Comfort Fabric Conditioner Pink (200ml),45.00
11-03-2015,Comfort Fabric Conditioner Pink (800ml),166.00
11-03-2015,Comfort 1 Rinse Fabric Conditioner Blue (20ml),4.00
11-03-2015,Comfort Fabric Conditioner Blue (20ml),3.00
11-03-2015,Comfort Fabric Conditioner Green (20ml),3.00
11-03-2015,Comfort Fabric Conditioner Pink (20ml),3.00
11-03-2015,Rin Fabric Whitener Ala (200ml),22.00
11-03-2015,Rin Fabric Whitener Ala (500ml),51.00
11-03-2015,Ujala Supreme (75ml),18.00
