date,product with quantity,price
11-03-2015,Aroma Magic Fairy Oil (15ml),237.00
11-03-2015,Aroma Magic Stimulate Hair Oil (15ml),242.00
11-03-2015,Aroma Magic Revitalising Hair Oil (120ml),106.00
11-03-2015,Bajaj Almond Drops Hair Oil (100ml),57.00
11-03-2015,Bajaj Almond Drops Hair Oil (200ml) ,105.00
11-03-2015,Bajaj Almond Drops Hair Oil (300ml),139.00
11-03-2015,Bajaj Almond Drops Hair Oil (500ml),225.00
11-03-2015,Biotique Bio Bhringraj Fresh Hair Growth Therapeutic Oil (120ml),155.00
11-03-2015,Biotique Bio Mountain Ebony Fresh Hair Growth Stimulating Serum (120ml),155.00
11-03-2015,Clear Complete Active Care Hair Oil (150ml),80.00
11-03-2015,Clinic Plus Daily Care Hair Oil (100ml),41.00
11-03-2015,Dabur Almond Hair Oil (200ml),99.00
11-03-2015,Dabur Almond Hair Oil (50ml),29.00
11-03-2015,Dabur Amla Hair Oil (100ml),39.00
11-03-2015,Dabur Amla Hair Oil (180ml),82.00
11-03-2015,Dabur Amla Hair Oil (275ml),122.00
11-03-2015,Dabur Badam Tail (100ml),309.00
11-03-2015,Dabur Badam Tail (25ml),86.00
11-03-2015,Dabur Badam Tail (50ml),161.00
11-03-2015,Dabur Vatika Encriched Coconut Hair Oil  with Henna Amla & Lemon (300ml),163.00
11-03-2015,Dabur Vatika Enriched Coconut Hair Oil (150ml),82.00
11-03-2015,Dabur Vatika Enriched Coconut Oil With Hibiscus (150ml),53.00
11-03-2015,Dabur Vatika Enriched Coconut Oil With Hibiscus (300ml),98.00
11-03-2015,Dhathri Hair Care Herbal Oil (100ml),186.00
11-03-2015,Dhathri Hair Care Plus Herbal Oil Ayurvedic Anti - Hair Fall (100ml),245.00
11-03-2015,Dhathri Hair Care Plus Herbal Oil Ayurvedic Anti Hair Fall (200g) + free Chmpakam Soap,465.00
11-03-2015,Dove Elixir Hibiscus & Argan Hair Oil (90ml),183.00
11-03-2015,Dove Elixir Rose & Almond Hair Oil (90ml),183.00
11-03-2015,Eldia Enriched Oil (100ml),36.00
11-03-2015,Eldia Enriched Oil (200ml),66.00
11-03-2015,Eldia Pure Coconut Oil Pouch (500ml),102.00
11-03-2015,Himalaya Herbals Anti Dandruff Hair Oil (100ml),88.00
11-03-2015,Himalaya Herbals Anti Hair Fall Hair Oil (100ml),98.00
11-03-2015,Navratna Oil Cool (100ml),58.00
11-03-2015,Navratna Oil Cool (200ml),112.00
11-03-2015,Navratna Oil Cool (50ml),31.00
11-03-2015,Indulekha Bringha Hair Oil (100ml),418.00
11-03-2015,Keo Karpin Non Sticky Hair Oil With Olive Oil (200ml),83.00
11-03-2015,Keo Karpin Non Sticky Hair Oil With Olive Oil (300ml),112.00
11-03-2015,Kpl Shudhi Coconut Oil (250ml),74.00
11-03-2015,Kpl Shudhi Coconut Oil (500ml),123.00
11-03-2015,Kpl Shudhi Coconut Oil (1Ltr),228.00
11-03-2015,Parachute Hair Oil (100ml),33.00
11-03-2015,Parachute Hair Oil (250ml),85.00
11-03-2015,Parachute Hair Oil (500ml),169.00
11-03-2015,Parachute Hair Oil (35ml),10.00
11-03-2015,Sesa Hair Oil (90ml),105.00
11-03-2015,Tapovana Organic Cold Pressed Coconut Oil (500ml),117.00
11-03-2015,Trichup Anti Dandruff Oil (100ml),99.00
11-03-2015,Trichup Hair Fall Control Oil (100ml),110.00
11-03-2015,"Trichup Oil Healthy , Long & Strong (100ml)",110.00
11-03-2015,"Trichup Oil Healthy, Long & Strong (200ml)",200.00
11-03-2015,Vcare Herbal Hair Oil (100ml),191.00
11-03-2015,Vcare Lice and Nits Oil (54ml),47.00
11-03-2015,Vernika Ayurvedic Hair Oil (100ml),238.00
11-03-2015,VVD Gold Coconut Hair Oil (100ml),33.00
11-03-2015,VVD Gold Coconut Hair Oil (175ml),58.00
11-03-2015,VVD Gold Coconut Hair Oil (500ml),162.00
11-03-2015,VVD Herbal Oil (100ml),42.00
11-03-2015,VVD Herbal Oil (50ml),21.00
11-03-2015,VVD Coconut Oil Refill (250ml),65.00
11-03-2015,VVD Lite Pure Coconut Hair Oil (100ml),34.00
11-03-2015,VWash Expert Intimate Hygiene PH 3.5 (100ml),150.00
11-03-2015,VWash Expert Intimate Hygiene PH 3.5 (200ml),260.00
11-03-2015,Colgate Plax Active Salt Mouth Wash (250ml),112.50
11-03-2015,Colgate Plax Complete Care Mouth Wash (250ml),112.00
11-03-2015,Colgate Plax Fresh Mint Mouth Wash (100ml),49.00
11-03-2015,Colgate Plax Fresh Mint Mouth Wash (250ml),103.00
11-03-2015,Colgate Plax Fresh Tea Mouth Wash (250ml),112.00
11-03-2015,Colgate Plax Fresh Tea Mouth Wash (60ml),39.00
11-03-2015,Colgate Plax Pepper Mint Mouth Wash (250ml),88.00
11-03-2015,Colgate Plax Sensitive Mouth Wash (250ml),112.00
11-03-2015,Listerine Cavity Fighter Mouthwash (250ml),93.00
11-03-2015,Listerine Cavity Fighter Mouthwash (500ml),195.00
11-03-2015,Listerine Cavity Fighter Mouthwash (80ml),44.00
11-03-2015,Listerine Cool Citrus Mouthwash (250ml),97.00
11-03-2015,Listerine CoolMint Mouthwash (250ml),97.00
11-03-2015,Listerine CoolMint Mouthwash (500ml),176.00
11-03-2015,Listerine CoolMint Mouthwash (80ml),39.00
11-03-2015,Listerine FreshBurst Mouthwash (250ml),97.00
11-03-2015,Listerine FreshBurst Mouthwash (500ml),176.00
11-03-2015,Listerine FreshBurst Mouthwash (80ml),39.00
11-03-2015,Listerine Original Mouthwash  (500ml),176.00
11-03-2015,Listerine Original Mouthwash (250ml),97.00
11-03-2015,Listerine Original Mouthwash (80ml),39.00
11-03-2015,Colgate 360 Soft Tooth Brush (1Piece),53.00
11-03-2015,Colgate 360 Whole Clean Soft Tooth Brush (1Piece),63.00
11-03-2015,Colgate 360 Whole Mouth Clean Tooth Brush (1+1),96.00
11-03-2015,Colgate Sensitive Ultra Soft Tooth Brush (1Piece),44.00
11-03-2015,Colgate Slim Soft Charcoal Soft Tooth Brush (1Piece),63.00
11-03-2015,Colgate Slim Soft Extra Soft Tooth Brush (1Piece),49.00
11-03-2015,Colgate Super Shine Medium Tooth Brush (1Piece),19.00
11-03-2015,Colgate ZigZag Medium Tooth Brush (3 Piece),49.00
11-03-2015,Colgate Gentle Soft Kids Tooth Brush (1Piece),18.00
11-03-2015,Colgate New ZigZag Deep Cleanning Between Teeth (1 Piece),24.00
11-03-2015,Colgate Super Flexi Medium Tooth Brush (1Piece),16.00
11-03-2015,Colgate ZigZag Medium Tooth Brush (1Piece),24.00
