date,product with quantity,price
11-03-2015,Franch Diafite A Nutritional Supplement (200g),357.00
11-03-2015,Horlicks Nutribic Digestive Biscuit (100g),20.90
11-03-2015,Dettol Antiseptic Liquid (110ml),24.44
11-03-2015,Dettol Antiseptic Liquid (210ml),51.74
11-03-2015,Dettol Antiseptic Liquid (500ml),105.39
11-03-2015,Dettol Antiseptic Liquid (60ml),15.11
11-03-2015,Amruthanjan Relief Cough and Cold Nasal Inhaler (0.75g),29.00
11-03-2015,Vicks VapoRub (10g),27.00
11-03-2015,Vicks VapoRub (25g),56.00
11-03-2015,Vicks VapoRub (50g),88.00
11-03-2015,Vicks VapoRub Inhaler (0.5ml),36.00
11-03-2015,Vicks VapoRub (5g),15.00
11-03-2015,Dabur Chyawanprakash Sugar Free (500g),156.00
11-03-2015,Dabur Chyawanprash Awaleha (1Kg),254.00
11-03-2015,Dabur Chyawanprash Awaleha (250g),82.00
11-03-2015,Dabur Chyawanprash Awaleha (500g),149.00
11-03-2015,Eno Lemon (100g),88.00
11-03-2015,Eno Mint Bottle (170ml),66.00
11-03-2015,Eno Orange (100g),88.00
11-03-2015,Eno Regular (100g),88.00
11-03-2015,Eno Mint Tablets (6s Pack),8.00
11-03-2015,Dabur Hajmola Imli,21.00
11-03-2015,Dabur Hajmola Regular,21.00
11-03-2015,Band Aid Flexi Antiseptic (5 Patches),12.50
11-03-2015,Band Aid Flexi Antiseptic (5 Spots),10.00
11-03-2015,Band Aid Flexi Fabric Bandage (5 Strips),10.00
11-03-2015,Band Aid Washproof Antiseptic Bandage - Chota Bheem (10 Strips),25.00
11-03-2015,Band Aid Washproof Antiseptic Bandage - Chota Bheem (5 Strips),12.50
11-03-2015,Bajaj No Marks for All Skin Type for Clear Glowing Fairness (12g),39.00
11-03-2015,Bajaj No Marks for All Skin Types for Clear Glowing Fairness (25g),83.00
11-03-2015,Bajaj No Marks for Dry Skin for Blemish Free Glowing Fairness (12g),83.00
11-03-2015,Bajaj No Marks for Dry Skin for Blemish Free Glowing Fairness (25g),83.00
11-03-2015,Bajaj No Marks for Only Skin for Pimple Mark Free Glowing Fairness (12g),39.00
11-03-2015,Biotique Bio Chlorophyll Post Hair Removal Soother (50g),199.00
11-03-2015,Himalaya Herbals Anti Wrinkle Cream (25g),127.00
11-03-2015,Himalaya Herbals Anti Wrinkle Cream (50g),225.00
11-03-2015,Himalaya Herbals Nourishing Skin Cream (50ml),73.00
11-03-2015,Himalaya Herbals Revitalizing Night Cream (50g),196.00
11-03-2015,New Itch Guard (25g),60.00
11-03-2015,New Itch Guard Soothing & Cooling (15g),42.00
11-03-2015,Lacto Calamine Glycerin (60ml),88.00
11-03-2015,Nivea Creme (100ml),117.00
11-03-2015,Ponds Men Energy Charge (20g),83.00
11-03-2015,New Ring Guard (20g),49.00
11-03-2015,Diabliss Herbal Cane Sugar (500g),137.00
11-03-2015,Amrutanjan Maha Strong (9ml),29.00
11-03-2015,Amrutanjan Pain Balm (30ml),63.00
11-03-2015,Amrutanjan Pain Balm (55ml),102.00
11-03-2015,Amrutanjan Pain Balm Yellow (9ml),26.00
11-03-2015,Amrutanjan Roll On (10ml),44.00
11-03-2015,Amrutanjan Roll On (5ml),29.00
11-03-2015,Amrutanjan Strong (55ml),98.00
11-03-2015,Amrutanjan Strong (9ml),27.00
11-03-2015,Amrutanjan Strong Green (30ml),58.00
11-03-2015,Axe Brand Universal Oil (10ml),128.00
11-03-2015,Axe Brand Universal Oil (28ml),266.00
11-03-2015,Axe Brand Universal Oil (56ml),394.00
11-03-2015,Axe Brand Universal Oil (3ml),60.00
11-03-2015,Axe Brand Universal Oil (5ml),81.00
11-03-2015,Himalaya Herbals Pain Massage Oil (100ml),68.00
11-03-2015,Iodex Rub Ointment (18g),49.00
11-03-2015,Iodex Rub Ointment (9g),25.00
11-03-2015,Moov Express Gell (15g),40.00
11-03-2015,Moov Ointment (15g),41.00
11-03-2015,Moov Ointment (25g),52.00
11-03-2015,Moov Spray (80g),137.00
11-03-2015,Relispray Deep Damage Repair Technology (75g),150.00
11-03-2015,Relispray Diclo Rapid Pain Relief (55g),129.00
11-03-2015,Relispray Instant Pain Relief (12g),39.00
11-03-2015,Vicco Narayani Cream (15g),41.00
