date,product with quantity,price
10-03-2015,Nescafe Sunrise 6Gm,Rs.5
10-03-2015,Reliance Select Dust Popular Tea500G Pch,Rs.130.95
10-03-2015,Kinley Soda 500Ml,Rs.14.55
10-03-2015,Tetley Green Tea Bags Lemon & Honey,Rs.58.2
10-03-2015,Glucon D Nimbu Pani 450G ,Rs.108.1
10-03-2015,Mirinda Orange 1Lt Pet,Rs.48.5
10-03-2015,Mother Horlicks Dha 200Gm Rfl,Rs.187.06
10-03-2015,Amul Kool Cafe Can 180Ml,Rs.25.38
10-03-2015,Coca Cola 750Ml,Rs.28.8
10-03-2015,Complan Nutri Gro Badamkheer 400Gm ,Rs.235
10-03-2015,Nestle Everyday Dairy Whitener 950Gm ,Rs.412.25
10-03-2015,Tetley Green Tea Bags Ginger Mint Lemon,Rs.58.2
10-03-2015,Amul Kool Flav. Milk Elachi 200Ml,Rs.18.8
10-03-2015,Godrej Sofit Soyamilk Kesar Pista 1Ltr,Rs.91.2
10-03-2015,Dabur Glucose D 450+50Gm,Rs.88.32
10-03-2015,Mirinda Orange 1.5Lt Pet,Rs.58.2
10-03-2015,Tropicana Pr Mix Fruit 1Lt,Rs.84.6
10-03-2015,Dairy Life Dairy Whitener 100Gm Pouch,Rs.31.04
10-03-2015,Junior Horlicks Dha 200G ,Rs.104.34
10-03-2015,Nestle Every Dairy Whitener 190Gm,Rs.85.36
