date,product with quantity,price
10-03-2015,Dukes Waffy Rolls Choco Jar 250Gm,Rs.116.4
10-03-2015,Popular No 1 Special Appalam 100Gm ,Rs.35.72
10-03-2015,Maggi 2 Min Noodles Magicmas 72Gm,Rs.14.55
10-03-2015,Haldirams Bhujia Sev 20Gm,Rs.5
10-03-2015,Fun Foods Mayonnaise 275Gm ,Rs.73.32
10-03-2015,Britannia Bourbon Treat 150Gm ,Rs.25.22
10-03-2015,Ching'S Green Chilli Sauce 190G ,Rs.38.8
10-03-2015,Haldirams Masala Peanut 30Gm,Rs.5
10-03-2015,Parle Golden Arcs Apple Filling 75Gm,Rs.24.25
10-03-2015,Maggi Pasta Cheese 70Gm,Rs.22.31
10-03-2015,MTR Chana Masala 300Gm,Rs.65.8
10-03-2015,Weikfield Mustard Paste Bottle 225Gm,Rs.48.5
10-03-2015,Ching'S Instant Tomato Soup 60Gm,Rs.42.3
10-03-2015,Kelloggs Extra Muesli No Added Sugar 550Gm,Rs.222.13
10-03-2015,Maggi Pasta Mushroom 64Gm,Rs.19.4
10-03-2015,Ching'S Sweet Corn Vegetable Soup 47G,Rs.42.3
10-03-2015,Knorr Chinese Manchurian Recipe Mix 53Gm ,Rs.37.6
10-03-2015,Durga Kabuli Chenna 90Gm,Rs.36.86
10-03-2015,Jais Amla Pickle 200Gm,Rs.33.95
10-03-2015,Ching'S Instant Mix Veg Soup80G,Rs.37.6
