date,product with quantity,price
10-03-2015,Naga Maida 500Gm ,Rs.23.28
10-03-2015,Delicious Mamra Badam 50 Gm  ,Rs.170.88
10-03-2015,Gold Winner Refined Sunflower Oil 5Lt Jar,Rs.430
10-03-2015,R Select Prunes Munaka 100Gm ,Rs.100.8
10-03-2015,Sastha Sesame Oil 1Lt,Rs.266
10-03-2015,SVS Urad Dhal (Ulutham Paruppu) Flour 200Gm ,Rs.38.8
10-03-2015,Daawat Biryani Basmati Rice 1Kg ,Rs.183.3
10-03-2015,R Value Chilli Guntur With Stem 100Gm ,Rs.42.75
10-03-2015,R Select Yellow Raisins (Dry Grapes) 250Gm,Rs.88.35
10-03-2015,Sugar Free Natura 100 Pellets,Rs.63.05
10-03-2015,Vira Sivaji Ponni Boiled Rice Premium 25Kg,Rs.1360
10-03-2015,R Select Poha (Aval) Thin Superfine 1 Kg,Rs.72.96
10-03-2015,R Select Rajma (karamani) Red 1Kg ,Rs.129.6
10-03-2015,Catch Turmeric (Manjal) Powder 200Gm,Rs.38.8
10-03-2015,Udhaiyam Orid Dal (Ulutham Paruppu) 500Gm,Rs.56.05
10-03-2015,R Select Chilli Guntur With Stem 100Gm ,Rs.27.55
10-03-2015,R Value Toor Dal (Tuvaram Paruppu) 1Kg ,Rs.112.1
10-03-2015,GRB Udhayam Ghee 1Lt Bottle,Rs.475.3
10-03-2015,Catch Chole Masala 100Gm ,Rs.43.65
10-03-2015,Delicious Fig Selected100 Gm  ,Rs.100.8
