date,product with quantity,price
10-03-2015,Mr White 2X Active Powder 3 Kg Bucket Pack,Rs.276.45
10-03-2015,Domex Floor Cleaner 1 Lt,Rs.103.79
10-03-2015,Vim Liquid Pouch 225Ml,Rs.37.83
10-03-2015,Pedigree Adult Veg 3Kg ,Rs.522.5
10-03-2015,Dishwash Round Budget Pack,Rs.24.25
10-03-2015,Nimyle Her Anti Insect Floor Cleaner 1000Ml,Rs.90.21
10-03-2015,Harpic Power Plus 750Ml,Rs.93.12
10-03-2015,Scoure Bright 3*4(3 Pcs Pck),Rs.37.44
10-03-2015,Sudz Detergent Powder 1Kg,Rs.77.6
10-03-2015,Ambi pur 7Ml Lavender,Rs.164.5
10-03-2015,Ujala Supreme 75Ml ,Rs.17.46
10-03-2015,Crystal Garbage Bag Packet 15Pcs (24X32 Inch) ,Rs.60.8
10-03-2015,Freshno Spa Aromatic Floor Cleaner 500Ml,Rs.58.2
10-03-2015,Mr.Clean Garbage Bags 30Pcs (19X21 Inch) ,Rs.68.4
10-03-2015,All Out Insecticide Cp 30 Nights,Rs.67.68
10-03-2015,Nimyle Cit Anti Insect Floor Cleaner 1000Ml,Rs.89.24
10-03-2015,Sabena Citrus Plus Dishwash Concentrate 250 Ml,Rs.49.92
10-03-2015,Glade Touch & Fresh Fresh Lemon Refill,Rs.72
10-03-2015,Scotch Brite Twin Scrub 6.5Cmx 6.5Cm  ,Rs.17.28
10-03-2015,Tide Plus 4 Kg Jr,Rs.352.11
