date,product with quantity,price
10-03-2015,Fair & Lovely Multi Vitamin Facewash 150X11G,Rs.14.55
10-03-2015,Park Avenue Shave Cream Classic 70Gm,Rs.61.11
10-03-2015,Olay Natural White 3 In 1 Fairness 40G,Rs.86.33
10-03-2015,Dove Anti Dandruff Therapy Conditioner 180Ml,Rs.134.83
10-03-2015,Spinz Exotic Deo 150Ml,Rs.161.5
10-03-2015,Johnson & Johnson Baby Powder 400Gm ,Rs.144
10-03-2015,Kamasutra Spark Men'S Deodorant,Rs.171
10-03-2015,Johnson & Johnson Baby Lotion 50Gm ,Rs.40.32
10-03-2015,Dove Intense Repair Twin Sachet 14Ml,Rs.5
10-03-2015,Head & Shoulders Silky Black Shampoo 170Ml,Rs.155.2
10-03-2015,Tresemme Hairfall Defence Shampoo 215Ml,Rs.130.95
10-03-2015,Hamam 50Gm,Rs.8
10-03-2015,Nivea Creme 200Ml Tin,Rs.194
10-03-2015,Pantene Smooth & Silky 7.5Ml,Rs.3
10-03-2015,Kohinoor Condoms Xtra Dots 10S,Rs.72.75
10-03-2015,Johnson & Johnson Baby Cream 50Gm Tube,Rs.62.4
10-03-2015,Fair And Handsome Facewash 50 G,Rs.67.2
10-03-2015,Kohinoor Condoms Xtra Time 3S,Rs.24.25
10-03-2015,Johnson & Johnson Baby Blossom Soap 75Gm,Rs.38.4
10-03-2015,Clinic Plus Natural Shampoo 80Ml,Rs.49.47
