date,product with quantity,price
11-03-2015,Kelloggs Extra Muesli Fruit Magic Cereal 550 gm,Rs. 260.00
11-03-2015,Kelloggs Muesli No Added Sugar Breakfast Cereal 550 gm,Rs. 260.00
11-03-2015,Kelloggs Muesli Nuts Delight Breakfast Cereal 550 gm,Rs. 255.00
11-03-2015,Kelloggs Special K 98% Fat Free Cereal 435 gm,Rs. 170.00
11-03-2015,Kelloggs Chocos Moons & Star Breakfast Cereal 350 gm,Rs. 156.00
11-03-2015,Kelloggs Corn Flakes With Real Almonds & Honey Cereal 300 gm,Rs. 153.00
11-03-2015,Kelloggs Chocos Moons & Stars Breakfast Cereal 350 gm,Rs. 152.00
11-03-2015,Kelloggs Chocos Duet Chocolaty And Vennila Flavour 375 gm,Rs. 152.00
11-03-2015,Kelloggs Chocos Choco Land Chocolaty Breakfast Cereal 375 gm,Rs. 150.00
11-03-2015,Kelloggs Corn Flakes With Real Honey Breakfast Cereal 300 gm,Rs. 124.00
11-03-2015,Kelloggs Corn Flakes With Real Mango Puree Cereal 300 gm,Rs. 119.00
11-03-2015,Kelloggs Corn Flakes With Real Strawberry 275 gm,Rs. 116.00
11-03-2015,Kelloggs Special K Breakfast Cereal 290 gm,Rs. 116.00
11-03-2015,Kelloggs Chocos Breakfast Cereal 250 gm,Rs. 106.00
11-03-2015,Kellogg's Oat-Bites Breakfast Cereal 350 gm,Rs. 105.00
11-03-2015,Kelloggs Corn Flakes Original & The Best Cereal 250 gm,Rs. 91.00
11-03-2015,Horlicks Oats Oatmeal 1 kg Refill Pack,Rs. 175.00
11-03-2015,Quaker Oats 1.5 kg. Save Rs 50 (When compared to 1 kg pack),Rs. 198.00
11-03-2015,Quaker Oats 1 Kg,Rs. 194.00
11-03-2015,Quaker Oats 1 Kg Refill Pack,Rs. 165.00
11-03-2015,Quaker Oats Plus Multi Grain Advantage 600 gm,Rs. 144.00
11-03-2015,Quaker Oats Plus Multi Grain Advantage 300 gm,Rs. 62.00
11-03-2015,Quaker Oats 200 gm,Rs. 41.00
11-03-2015,Lion Australian Oats 1 kg. Extra 500 gm,Rs. 169.00
11-03-2015,Saffola Oats 100% Natural 1 Kg Refill Pack,Rs. 165.00
11-03-2015,Saffola Masala Oats 400 gm Refill Pack. Rs 20 Off,Rs. 130.00
11-03-2015,Lion Australian Oats 200 gm,Rs. 39.00
11-03-2015,Saffola Masala Oats Masala & Coriander 40 gm,Rs. 15.00
11-03-2015,Saffola Masala Oats Curry & Pepper 40 gm,Rs. 15.00
11-03-2015,Saffola Masala Oats Pepper & Spice 40 gm,Rs. 15.00
11-03-2015,Saffola Masala Oats Veggie Twist 40 gm,Rs. 15.00
