date,product with quantity,price
11-03-2015,Amul Masti Spiced Buttermilk 200 ml,Rs. 12.00
11-03-2015,Amul Lassi 200 ml,Rs. 15.00
11-03-2015,Amul Fresh Cream 200 ml,Rs. 45.00
11-03-2015,Amul Mithai Mate Sweetened Condensed Milk 400 gm,Rs. 85.00
11-03-2015,Nestle Slim Low Fat Skimmed Milk 1 lt,Rs. 80.00
11-03-2015,Nestle A+ Toned Milk 1 lt,Rs. 75.00
11-03-2015,Amul Kool Coffee Drink 180 ml,Rs. 27.00
11-03-2015,Amul Kool Strawberry Flavoured Milk 180 ml,Rs. 27.00
11-03-2015,Amul Kool Badam Flavoured Milk 180 ml,Rs. 27.00
11-03-2015,Amul Kool Rose Flavoured Milk 200 ml,Rs. 25.00
11-03-2015,Amul Kool Cafe 200 ml,Rs. 25.00
11-03-2015,Cavin's Vanilla Milkshake 200 ml,Rs. 25.00
11-03-2015,Cavin's Strawberry Milkshake 200 ml,Rs. 25.00
11-03-2015,Cavin's Kaju Butterscotch Milkshake 200 ml,Rs. 25.00
11-03-2015,Cavin's Chocolate Milkshake 200 ml,Rs. 25.00
11-03-2015,Amul Kool Kesar Flavoured Milk 200 ml,Rs. 20.00
11-03-2015,Amul Kool Elaichi Flavoured Milk 200 ml,Rs. 20.00
