date,product with quantity,price
11-03-2015,RC Diamond Premium Ponni Raw Rice 5 kg,Rs. 300.00
11-03-2015,RC Premium Ponni Boiled Rice 5 kg,Rs. 300.00
11-03-2015,RC White Horse Idli Rice 5 kg,Rs. 200.00
11-03-2015,Double Deer Dehraduni Basmati Rice 1kg. Extra 250 gm,Rs. 160.00
11-03-2015,India Gate Classic Basmati Rice 1 kg,Rs. 200.00
11-03-2015,Kohinoor Gold Basmati Rice 1kg. Extra 250 gm,Rs. 187.50
11-03-2015,Daawat Super Basmati Rice 1kg. Extra 300 gm,Rs. 160.00
11-03-2015,White Sesame 100 gm,Rs. 24.99
11-03-2015,Black Sesame 100 gm,Rs. 14.99
11-03-2015,Black Pepper Whole 200 gm,Rs. 200.99
11-03-2015,Black Pepper Whole 100 gm,Rs. 100.99
11-03-2015,Round Chilli 200 gm,Rs. 35.99
11-03-2015,Long Chilli 150 gm,Rs. 17.99
11-03-2015,Garlic - Big Cloves 250 gm,Rs. 27.99
11-03-2015,Gold Winner Refined Sunflower Oil 1 lt,Rs. 91.00
11-03-2015,Fortune Sunlite Refined Sunflower Oil 5 lt Can,Rs. 500.00
11-03-2015,Fortune Sunlite Refined Sunflower Oil 1 lt. Free Maggi,Rs. 95.00
11-03-2015,Sunrich Refined Sunflower Oil 1 lt,Rs. 91.00
11-03-2015,Idhayam Gingelly Oil 1 lt,Rs. 247.00
11-03-2015,Idhayam Gingelly Oil 500 ml,Rs. 133.00
11-03-2015,VVS Gingelly Oil 1 lt,Rs. 305.00
11-03-2015,Sugar 1 kg,Rs. 39.99
11-03-2015,Parry's Pure Refined Sugar Cubes 500 gm,Rs. 55.00
11-03-2015,Jaggery 500 gm,Rs. 33.99
11-03-2015,Sugar Free Gold 500 Pallets Sugar Substitute 50 gm,Rs. 220.00
11-03-2015,Sugar Free Natura Sugar Substitute 100 gm,Rs. 140.00
11-03-2015,Aashirvaad Iodised Powder Salt 1 kg,Rs. 16.00
11-03-2015,Tata Salt Lite Low Sodium Iodised Powder Salt 1 kg,Rs. 27.00
11-03-2015,Tata Salt Iodised Powder Salt 1 kg,Rs. 17.00
11-03-2015,Annapurna Powder Salt 1 kg,Rs. 16.00
11-03-2015,Annapurna Crystal Salt 1 kg,Rs. 12.00
11-03-2015,Tata Salt Flavoritz Red Paprika 100 gm,Rs. 60.00
11-03-2015,Tata Salt Flavoritz Onion And Garlic 100 gm,Rs. 60.00
11-03-2015,Catch Free Flowing Iodized Salt 200 gm,Rs. 25.00
11-03-2015,Mustard Big seeds 200 gm,Rs. 12.99
11-03-2015,Mustard Small Seeds 200 gm,Rs. 15.99
11-03-2015,Mustard Big seeds 100 gm,Rs. 6.99
11-03-2015,Mustard Small Seeds 100 gm,Rs. 7.99
11-03-2015,Tamarind New and Seedless 500 gm,Rs. 45.99
11-03-2015,Coriander 400 gm,Rs. 68.99
11-03-2015,Coriander 200 gm,Rs. 34.99
11-03-2015,Fennel 100 gm,Rs. 19.99
11-03-2015,Methi Fenugreek Seeds 200 gm,Rs. 21.99
11-03-2015,Methi Fenugreek Seeds 100 gm,Rs. 10.99
11-03-2015,Poppy Seeds 100 gm,Rs. 63.99
11-03-2015,Poppy Seeds 50 gm,Rs. 31.99
11-03-2015,Cardamom 100 gm,Rs. 167.99
11-03-2015,Cinnamon 50 gm,Rs. 13.99
11-03-2015,Cloves 50 gm,Rs. 83.99
11-03-2015,Brinji Leaves 20 gm,Rs. 2.99
11-03-2015,Star Anise 50 gm,Rs. 19.99
11-03-2015,Cumin 200 gm,Rs. 36.99
11-03-2015,Aachi Ginger Garlic Paste 100 gm ,Rs. 17.00
11-03-2015,Mother's Recipe Ginger & Garlic Paste 100 gm,Rs. 20.00
11-03-2015,Smith & Jones Ginger Garlic Paste 200 gm,Rs. 38.00
11-03-2015,Smith & Jones Farm Fresh Garlic Paste 200 gm Pouch,Rs. 38.00
11-03-2015,Smith & Jones Tamarind Paste 200 gm,Rs. 27.00
11-03-2015,Cardamom 50 gm,Rs. 83.99
11-03-2015,India Gate Super Basmati Rice 1 kg. Extra 250 gm,Rs. 155.00
11-03-2015,Kohinoor Super Basmathi Rice 1kg,Rs. 141.25
11-03-2015,India Gate Tibar Basmati Rice 1 kg,Rs. 112.50
11-03-2015,India Gate Dubar Basmati Rice 1 kg,Rs. 101.25
11-03-2015,Kohinoor Charminar Basmathi Rice 1kg,Rs. 97.50
11-03-2015,Kohinoor Rozana Basmati Rice 1kg,Rs. 86.25
11-03-2015,Naga Double Roasted Samba Broken Wheat 500 gm,Rs. 71.00
11-03-2015,Double Deer Zeera Samba Rice 1kg,Rs. 97.50
11-03-2015,Idli Rava 1 kg,Rs. 42.99
11-03-2015,Naga Classic Sooji 1 kg,Rs. 51.00
11-03-2015,Naga Classic Sooji 500 gm,Rs. 27.50
11-03-2015,Sago Seeds 500 gm,Rs. 52.99
11-03-2015,Rice flakes white - Thick 500 gm,Rs. 25.99
11-03-2015,Rice flakes white - Thin 500 gm,Rs. 25.99
11-03-2015,Rice flakes white - Thin 250 gm,Rs. 12.99
11-03-2015,Aashirvaad Atta With Multigrains 5 kg,Rs. 255.00
11-03-2015,Aashirvaad Superior MP Atta 5 kg - 100% Atta 0% Maida,Rs. 215.00
11-03-2015,Aashirvaad Atta With Multigrains 1 kg,Rs. 52.00
11-03-2015,Aashirvaad Select Superior Sharbati Whole Wheat Atta 1 kg,Rs. 50.00
11-03-2015,Aashirvaad Superior MP Atta 1 kg - 100% Atta 0% Maida,Rs. 45.00
11-03-2015,Pillsbury Chakki Fresh Atta 5 kg,Rs. 215.00
11-03-2015,Pillsbury Chakki Fresh Atta 1 kg,Rs. 45.00
11-03-2015,Aachi Bajji Bonda Mix 200 gm,Rs. 25.00
11-03-2015,Maggi Coconut Milk Powder 100 gm,Rs. 85.00
11-03-2015,Maggi Coconut Milk Powder Pouch 25 gm,Rs. 23.00
11-03-2015,Weikfield Corn flour 500 gm,Rs. 70.00
11-03-2015,Brown & Polson Corn Flour 100 gm,Rs. 25.00
11-03-2015,Manna Sprouted Ragi Flour 1 kg. Buy 1 Get 1 Free,Rs. 89.00
11-03-2015,Manna Ragi Flour 1 kg,Rs. 69.00
11-03-2015,Manna Sprouted Ragi Flour 500 gm. Free Health Mix Worth Rs 10,Rs. 60.00
11-03-2015,Manna Idiyappam Flour 500 gm,Rs. 45.00
11-03-2015,Sakthi Ragi Flour 500 gm,Rs. 27.00
11-03-2015,Sakthi Bengal Gram Dhal Flour 200 gm,Rs. 22.00
11-03-2015,VVV Anandham Gingelly Oil 1 lt,Rs. 250.00
11-03-2015,Anjali Sesame Oil 500 ml pouch,Rs. 130.00
11-03-2015,Fortune Refined Rice Bran Oil 1 lt,Rs. 115.00
11-03-2015,Porna Refined Rice Bran Oil 1 lt With Goodness Of Oryzanol,Rs. 104.00
11-03-2015,Orysa Refined Rice Bran Oil 1 lt,Rs. 92.00
11-03-2015,Cardia Life Agmark Blended Edible Vegetable Oil 1 lt,Rs. 160.00
11-03-2015,Sundrop Super Lite Blended Vegetable Oil 5 lt Can. Free 1 lt,Rs. 863.00
11-03-2015,Saffola Gold Blended Vegetable Oil 5 lt. Free 1 lt,Rs. 750.00
11-03-2015,Saffola Active Triple Action Blended Edible Vegetable Oil 5 lt,Rs. 655.00
11-03-2015,Saffola Total Blended Vegetable Oil 5 lt. Free 1 lt,Rs. 925.00
11-03-2015,Sundrop Heart Blended Vegetable Oil 1 lt Pet. Free 200 ml,Rs. 190.00
11-03-2015,Sundrop Heart Blended Vegetable Oil 1 lt. Free 200 ml,Rs. 185.00
11-03-2015,Saffola Gold Blended Edible Vegetable Oil 1 lt,Rs. 150.00
11-03-2015,Saffola Active Triple Action Blended Edible Vegetable Oil 1 lt,Rs. 130.00
11-03-2015,Sundrop Gold Lite Edible Vegetable Oil 1 lt,Rs. 125.00
11-03-2015,Saffola Tasty Blended Edible Vegetable Oil 1 lt,Rs. 117.00
11-03-2015,Fortune Filtered Mustard Oil 1 litre,Rs. 132.00
11-03-2015,Cardia Refined Olive Oil 500 ml,Rs. 273.00
11-03-2015,Toor Dal 1 kg,Rs. 98.99
11-03-2015,Udhaiyam Toor Dhall 1 kg,Rs. 119.00
11-03-2015,Sree Gold Toor Dhall 1 kg  ,Rs. 113.00
11-03-2015,Udhaiyam Toor Dhall 500 gm,Rs. 60.00
11-03-2015,Urad Dal Whole Black 1 kg,Rs. 106.99
11-03-2015,Urad Dal Whole Pealed 1 kg,Rs. 92.99
11-03-2015,Urad Dal Whole Black 500 gm,Rs. 53.99
11-03-2015,Split Urad Dal 250 gm,Rs. 27.99
11-03-2015,Sree Gold Orid Dhall 1 kg  ,Rs. 113.00
11-03-2015,Udhaiyam Orid Dhall 1 kg,Rs. 110.00
11-03-2015,Udhaiyam Orid Dhall 500 gm,Rs. 56.00
11-03-2015,Moong Dal Split 1 kg,Rs. 118.99
11-03-2015,Moong Dal Split 500 gm,Rs. 59.99
11-03-2015,Udhaiyam Moong Dhall 1 kg,Rs. 135.00
11-03-2015,Sree Gold Moong Dhall 1 kg  ,Rs. 130.00
11-03-2015,Udhaiyam Moong Dhall 500 gm,Rs. 68.00
11-03-2015,Chana Dal 1 kg,Rs. 49.99
11-03-2015,Udhaiyam Gram Dhall 1 kg,Rs. 75.00
11-03-2015,Sree Gold Gram Dhall 1 kg  ,Rs. 70.00
11-03-2015,Udhaiyam Gram Dhall 500 gm,Rs. 38.00
11-03-2015,Fried Gram 500 gm,Rs. 30.99
11-03-2015,Udhaiyam Fried Gram 500 gm,Rs. 50.00
11-03-2015,White Chick Peas 1 kg,Rs. 77.99
11-03-2015,Brown Chick Peas 1 kg,Rs. 56.99
11-03-2015,White Chick Peas 500 gm,Rs. 38.99
11-03-2015,Sakthi Cumin Powder 50 gm,Rs. 23.00
11-03-2015,Aachi Lemon Rice Powder 50 gm,Rs. 15.00
11-03-2015,Sakthi Masala Chilli Powder 100 gm,Rs. 28.00
11-03-2015,Sakthi Chilli Powder 50 gm,Rs. 14.00
11-03-2015,Aachi Chilli Powder 500 gm,Rs. 135.00
11-03-2015,Aachi Chill Powder 100 gm,Rs. 28.00
11-03-2015,Sakthi Masala Coriander Powder 100 gm,Rs. 38.00
11-03-2015,Sakthi Coriander Powder 50 gm,Rs. 19.00
11-03-2015,Aachi Coriander Powder 500 gm,Rs. 187.00
11-03-2015,Aachi Coriander Powder 100 gm,Rs. 30.00
11-03-2015,Aachi Cumin Powder 50 gm,Rs. 24.00
11-03-2015,Aachi Idly Chilli Powder 100 gm,Rs. 30.00
11-03-2015,Sakthi Masala Chicken Masala 100 gm,Rs. 47.50
11-03-2015,Sakthi Mutton Masala Powder 100 gm,Rs. 47.00
11-03-2015,Sakthi Masala Briyani Masala 50 gm,Rs. 33.00
11-03-2015,Sakthi Masala Egg Kuruma Masala 50 gm,Rs. 28.00
11-03-2015,Sakthi Chicken Masala 50 gm,Rs. 24.00
11-03-2015,Sakthi Masala Chilli chicken 65 Masala 50 gm,Rs. 23.00
11-03-2015,Sakthi Mutton Masala Powder 50 gm,Rs. 21.00
11-03-2015,Sakthi Masala Fish Fry Masala 50 gm,Rs. 20.00
11-03-2015,Sakthi Fish Curry Masala 50 gm,Rs. 17.00
11-03-2015,Aachi Chicken Masala 100 gm,Rs. 52.00
11-03-2015,Aachi Chicken Kabab Masala 50 gm,Rs. 22.00
11-03-2015,Aachi Fish Curry Masala 50 gm,Rs. 22.00
11-03-2015,Sakthi Pepper Powder 50 gm,Rs. 93.00
11-03-2015,Badam 200 gm,Rs. 226.99
11-03-2015,Badam 100 gm,Rs. 113.99
11-03-2015,Cashewnuts 200 gm,Rs. 156.99
11-03-2015,Cashewnuts 100 gm,Rs. 78.99
11-03-2015,Kishmish Grapes 100 gm,Rs. 41.99
11-03-2015,Lion Desert King Premium Quality Seeded Dates 250 gm,Rs. 86.00
11-03-2015,Lion Deseeded Dates 500 gms,Rs. 70.00
11-03-2015,Del Monte Pitted Black Olives 450 gm,Rs. 180.00
11-03-2015,Del Monte Plain Green Olives 450 gm,Rs. 180.00
11-03-2015,Wonderful Pistachios Salt & Pepper 200 gm,Rs. 370.00
11-03-2015,Wonderful Pistachios Salt & Pepper 80 gm,Rs. 170.00
11-03-2015,Nutrela Soya Chunks 100% Veg 200 gm,Rs. 40.00
11-03-2015,Nutrela Soya Mini Chunks 100% Veg 200 gm,Rs. 40.00
11-03-2015,Nutrela Soya Granules 100% Veg 200 gm,Rs. 40.00
