date,product with quantity,price
11-03-2015,Mars Filled Chocolate 51 gm,Rs. 30.00
11-03-2015,Snickers Filled Chocolate 25 gm,Rs. 15.00
11-03-2015,Cadbury Dairy Milk Chocolate 38 gm,Rs. 25.00
11-03-2015,Milkybar Milk Chocolate 17 gm,Rs. 10.00
11-03-2015,Kit Kat Chocolate 27.5 gm,Rs. 20.00
11-03-2015,Munch 4X4 Wafer Chocolate 25 gm,Rs. 10.00
11-03-2015,Parle Mango Bite Candy 320 gm,Rs. 50.00
11-03-2015,Cadbury Dairy Milk Shots 16.6 gm,Rs. 10.00
11-03-2015,Pillsbury 100% Veg Vanilla Flavour Custard Powder 100 gm,Rs. 35.00
11-03-2015,Pillsbury Moist Supreme Rich Choco Cake Mix 270 gm,Rs. 135.00
11-03-2015,Pillsbury Moist Supreme Richer & Softer Cake Mix 285 gm,Rs. 130.00
11-03-2015,Pillsbury Fridge Strawberry Cheesecake Mix 165 gm,Rs. 125.00
11-03-2015,Pillsbury Moist Supreme Vanilla Flavoured Cake Mix 225 gm,Rs. 115.00
11-03-2015,Pillsbury Eggless Cooker Cake Vanilla Flavoured Mix 159 gm,Rs. 80.00
11-03-2015,Weikfield Baking Powder Double Action 400 gm,Rs. 70.00
11-03-2015,Weikfield Baking Powder 50 gm,Rs. 18.00
11-03-2015,Weikfield Cocoa Powder 50 gm,Rs. 60.00
11-03-2015,Weikfield Custard Powder Vanilla Flavour 200 gm,Rs. 55.00
11-03-2015,Weikfield Jelly Crystals Strawberry Flavour 90 gm,Rs. 40.00
11-03-2015,Aachi Mango Avakkai Pickle 70 gm,Rs. 10.00
11-03-2015,MTR Tomato Pickle 300 gm,Rs. 80.00
11-03-2015,MTR Lime Pickle 300 gm,Rs. 65.00
11-03-2015,Ruchi Magic Garlic Pickle 300 gm Bottle,Rs. 25.00
11-03-2015,Ruchi Magic Lime Pickle 300 gm Bottle,Rs. 20.00
11-03-2015,Ruchi Magic Mango Avakkai Pickle 300 gm Bottle,Rs. 62.00
11-03-2015,Ruchi Magic Mango Thokku Pickle 300 gm Bottle,Rs. 62.00
11-03-2015,Ruchi Magic Amla Pickle 300 gm,Rs. 62.00
11-03-2015,Ruchi Magic Citron Pickle 300 gm,Rs. 62.00
11-03-2015,Mother's Recipe Kerala Vadu Mango Pickle 300 gm,Rs. 80.00
11-03-2015,Mother's Recipe Mango Pickle 400 gm,Rs. 75.00
11-03-2015,Mother's Recipe Garlic Pickle South Indian Style 300 gm,Rs. 74.00
11-03-2015,Mother's Recipe Mixed Pickle 400 gm,Rs. 70.00
11-03-2015,Mother's Recipe Tomato Pickle 300 gm,Rs. 64.00
11-03-2015,Mother's Recipe Avakaya Pickle 300 gm,Rs. 64.00
11-03-2015,Mother's Recipe Karnataka Cut Mango Pickle 300 gm,Rs. 64.00
11-03-2015,Mother's Recipe Mango Pickle 300 gm,Rs. 62.00
11-03-2015,Mother's Recipe Madras Thokku Mango Pickle 300 gm,Rs. 62.00
11-03-2015,Mother's Recipe Garlic Pickle South Indian Style 200 gm,Rs. 42.00
11-03-2015,Mother Recipe Ginger Pickle 200 gm,Rs. 36.00
11-03-2015,Mother's Recipe Gongura Pickle 200 gm,Rs. 36.00
11-03-2015,Mother's Recipe Lime Pickle South Indian Style 200 gm,Rs. 36.00
11-03-2015,Twin Birds Prawn Pickles 300 gm ,Rs. 125.00
11-03-2015,Twin Bird Prawn Curry Gravy 300 gm ,Rs. 125.00
11-03-2015,Twin Bird Fish Pickle 300 gm ,Rs. 125.00
11-03-2015,Britannia Nutri Choice Nutribix 5Grain Biscuits 200 gm.,Rs. 50.00
11-03-2015,Britannia Treat Jim-Jam Flavoured Sandwich Biscuits 150 gm,Rs. 25.00
11-03-2015,Britannia Nutri Choice Nutribix 5Grain Biscuits 100 gm,Rs. 25.00
11-03-2015,Britannia 50-50 Sweet Salty Biscuits 200 gm,Rs. 25.00
11-03-2015,Britannia 50-50 Maska Chaska Tasty Biscuits 120 gm,Rs. 25.00
11-03-2015,Britannia Nutri Choice Nutribix Thin Arrowroot Biscuits 150 gm,Rs. 20.00
11-03-2015,Britannia Milk Bikis Milky Sandwich Biscuits 100 gm,Rs. 20.00
